snrDb,ber,curve,decoderMode
0,0.00704427083333333,ideal log-MAP / BCJR,ideal_logmap
0.5,0.00359375,ideal log-MAP / BCJR,ideal_logmap
1,0.002265625,ideal log-MAP / BCJR,ideal_logmap
1.5,0.00111979166666667,ideal log-MAP / BCJR,ideal_logmap
2,0.000794270833333333,ideal log-MAP / BCJR,ideal_logmap
2.5,0.000729166666666667,ideal log-MAP / BCJR,ideal_logmap
0,0.00705729166666667,floating max-log,floating
0.5,0.00360677083333333,floating max-log,floating
1,0.00220052083333333,floating max-log,floating
1.5,0.00122395833333333,floating max-log,floating
2,0.000794270833333333,floating max-log,floating
2.5,0.000716145833333333,floating max-log,floating
0,0.0102213541666667,RTL-style fixed radix-4/windowed,rtl_fixed
0.5,0.00510416666666667,RTL-style fixed radix-4/windowed,rtl_fixed
1,0.00321614583333333,RTL-style fixed radix-4/windowed,rtl_fixed
1.5,0.001484375,RTL-style fixed radix-4/windowed,rtl_fixed
2,0.000846354166666667,RTL-style fixed radix-4/windowed,rtl_fixed
2.5,0.000533854166666667,RTL-style fixed radix-4/windowed,rtl_fixed
0,0.0107421875,actual RTL BER,rtl_actual
0.5,0.0053125,actual RTL BER,rtl_actual
1,0.0020703125,actual RTL BER,rtl_actual
1.5,0.001015625,actual RTL BER,rtl_actual
2,0.0006640625,actual RTL BER,rtl_actual
2.5,0.00046875,actual RTL BER,rtl_actual
