curve,snrDb,bitErrors,frameErrors,totalBits,totalFrames,ber,fer
floating max-log,0,120,25,8320,26,0.0144230769230769,0.961538461538462
floating max-log,0.5,90,25,8960,28,0.0100446428571429,0.892857142857143
floating max-log,1,75,25,8320,26,0.00901442307692308,0.961538461538462
floating max-log,1.5,65,25,8640,27,0.00752314814814815,0.925925925925926
floating max-log,2,53,25,8640,27,0.00613425925925926,0.925925925925926
floating max-log,2.5,56,25,9280,29,0.00603448275862069,0.862068965517241
RTL-style fixed radix-4/windowed,0,114,25,8320,26,0.0137019230769231,0.961538461538462
RTL-style fixed radix-4/windowed,0.5,77,24,9600,30,0.00802083333333333,0.8
RTL-style fixed radix-4/windowed,1,57,25,8320,26,0.00685096153846154,0.961538461538462
RTL-style fixed radix-4/windowed,1.5,47,25,8640,27,0.00543981481481481,0.925925925925926
RTL-style fixed radix-4/windowed,2,43,25,8960,28,0.00479910714285714,0.892857142857143
RTL-style fixed radix-4/windowed,2.5,42,25,9280,29,0.00452586206896552,0.862068965517241
