BER Report From Final LLR Dump
vector_file=sim_vectors\lte_frame_input_vectors.txt
llr_file=tb_turbo_top_final_llrs.txt
hard_decision_rule=bit_1_if_llr_gt_0_else_0
total_bits=320
valid_outputs=320
missing_outputs=0
malformed_llr_lines=0
bit_errors=3
ber_total=0.009375000000
ber_seen_only=0.009375000000
ber_with_missing_as_errors=0.009375000000
hard_one_count=150

idx bit_orig final_llr seen hard match
0 0 -64 1 0 OK
1 1 59 1 1 OK
2 0 -52 1 0 OK
3 1 63 1 1 OK
4 1 52 1 1 OK
5 1 56 1 1 OK
6 0 -57 1 0 OK
7 1 56 1 1 OK
8 0 -52 1 0 OK
9 1 56 1 1 OK
10 0 -64 1 0 OK
11 0 -57 1 0 OK
12 1 56 1 1 OK
13 0 -56 1 0 OK
14 0 -57 1 0 OK
15 0 -57 1 0 OK
16 0 -60 1 0 OK
17 1 56 1 1 OK
18 0 -55 1 0 OK
19 0 -39 1 0 OK
20 1 46 1 1 OK
21 1 36 1 1 OK
22 0 -39 1 0 OK
23 1 33 1 1 OK
24 1 33 1 1 OK
25 0 -36 1 0 OK
26 0 -33 1 0 OK
27 1 40 1 1 OK
28 1 55 1 1 OK
29 1 41 1 1 OK
30 0 -49 1 0 OK
31 1 61 1 1 OK
32 1 55 1 1 OK
33 1 36 1 1 OK
34 0 -40 1 0 OK
35 1 37 1 1 OK
36 1 31 1 1 OK
37 0 -26 1 0 OK
38 0 -12 1 0 OK
39 0 -5 1 0 OK
40 1 16 1 1 OK
41 0 -21 1 0 OK
42 0 -33 1 0 OK
43 1 44 1 1 OK
44 0 -34 1 0 OK
45 0 -35 1 0 OK
46 0 -44 1 0 OK
47 0 -57 1 0 OK
48 0 -49 1 0 OK
49 0 -56 1 0 OK
50 1 46 1 1 OK
51 1 50 1 1 OK
52 1 46 1 1 OK
53 1 46 1 1 OK
54 1 46 1 1 OK
55 0 -56 1 0 OK
56 0 -45 1 0 OK
57 0 -45 1 0 OK
58 1 44 1 1 OK
59 1 39 1 1 OK
60 1 36 1 1 OK
61 0 -32 1 0 OK
62 1 39 1 1 OK
63 1 32 1 1 OK
64 0 -52 1 0 OK
65 0 -47 1 0 OK
66 0 -40 1 0 OK
67 1 32 1 1 OK
68 0 -37 1 0 OK
69 0 -38 1 0 OK
70 1 45 1 1 OK
71 1 40 1 1 OK
72 1 40 1 1 OK
73 0 -38 1 0 OK
74 1 36 1 1 OK
75 0 -37 1 0 OK
76 0 -34 1 0 OK
77 1 20 1 1 OK
78 1 22 1 1 OK
79 1 9 1 1 OK
80 1 10 1 1 OK
81 1 31 1 1 OK
82 1 39 1 1 OK
83 0 -37 1 0 OK
84 1 24 1 1 OK
85 0 -38 1 0 OK
86 0 -35 1 0 OK
87 0 -42 1 0 OK
88 1 35 1 1 OK
89 0 -20 1 0 OK
90 0 -20 1 0 OK
91 1 33 1 1 OK
92 1 20 1 1 OK
93 1 43 1 1 OK
94 1 43 1 1 OK
95 1 51 1 1 OK
96 0 -43 1 0 OK
97 0 -46 1 0 OK
98 1 59 1 1 OK
99 0 -59 1 0 OK
100 1 57 1 1 OK
101 1 63 1 1 OK
102 1 54 1 1 OK
103 0 -61 1 0 OK
104 0 -53 1 0 OK
105 1 41 1 1 OK
106 0 -54 1 0 OK
107 0 -41 1 0 OK
108 1 41 1 1 OK
