k,snr_db,frames_run,frame_errors,fer,bit_errors,total_bits,ber_total,ber_with_missing_as_errors,valid_outputs,missing_outputs,malformed_llr_lines,case_dir
3200,0.0,8,8,1.000000000000,275,25600,0.010742187500,0.010742187500,25600,0,0,sim_vectors/ber_sweep/k3200/snr0p0
3200,0.5,8,8,1.000000000000,136,25600,0.005312500000,0.005312500000,25600,0,0,sim_vectors/ber_sweep/k3200/snr0p5
3200,1.0,8,7,0.875000000000,53,25600,0.002070312500,0.002070312500,25600,0,0,sim_vectors/ber_sweep/k3200/snr1p0
3200,1.5,8,6,0.750000000000,26,25600,0.001015625000,0.001015625000,25600,0,0,sim_vectors/ber_sweep/k3200/snr1p5
3200,2.0,8,8,1.000000000000,17,25600,0.000664062500,0.000664062500,25600,0,0,sim_vectors/ber_sweep/k3200/snr2p0
3200,2.5,8,8,1.000000000000,12,25600,0.000468750000,0.000468750000,25600,0,0,sim_vectors/ber_sweep/k3200/snr2p5
6144,0.0,8,8,1.000000000000,436,49152,0.008870442708,0.008870442708,49152,0,0,sim_vectors/ber_sweep/k6144/snr0p0
6144,0.5,8,8,1.000000000000,255,49152,0.005187988281,0.005187988281,49152,0,0,sim_vectors/ber_sweep/k6144/snr0p5
6144,1.0,8,8,1.000000000000,141,49152,0.002868652344,0.002868652344,49152,0,0,sim_vectors/ber_sweep/k6144/snr1p0
6144,1.5,8,8,1.000000000000,62,49152,0.001261393229,0.001261393229,49152,0,0,sim_vectors/ber_sweep/k6144/snr1p5
6144,2.0,8,7,0.875000000000,34,49152,0.000691731771,0.000691731771,49152,0,0,sim_vectors/ber_sweep/k6144/snr2p0
6144,2.5,8,8,1.000000000000,19,49152,0.000386555990,0.000386555990,49152,0,0,sim_vectors/ber_sweep/k6144/snr2p5
