# idx_orig bit_orig post_llr_q hard
0 1 63 1
1 1 63 1
2 1 63 1
3 0 -64 0
4 1 63 1
5 0 -64 0
6 0 -64 0
7 1 63 1
8 0 -64 0
9 0 -64 0
10 1 63 1
11 0 -64 0
12 1 63 1
13 0 -64 0
14 1 63 1
15 1 63 1
16 1 63 1
17 1 63 1
18 0 -64 0
19 1 63 1
20 1 63 1
21 0 -64 0
22 1 63 1
23 1 63 1
24 1 63 1
25 1 63 1
26 0 -64 0
27 0 -64 0
28 0 -64 0
29 0 -64 0
30 0 -64 0
31 1 63 1
32 0 -64 0
33 0 -64 0
34 0 -64 0
35 0 -64 0
36 1 63 1
37 1 63 1
38 1 63 1
39 0 -64 0
40 0 -64 0
41 0 -64 0
42 1 63 1
43 1 63 1
44 0 -64 0
45 1 63 1
46 1 63 1
47 0 -64 0
48 1 63 1
49 0 -64 0
50 1 63 1
51 0 -64 0
52 1 63 1
53 1 63 1
54 1 63 1
55 0 -64 0
56 0 -64 0
57 1 63 1
58 0 -64 0
59 0 -64 0
60 0 -64 0
61 1 63 1
62 0 -64 0
63 1 63 1
64 1 63 1
65 0 -64 0
66 0 -64 0
67 0 -64 0
68 0 -64 0
69 0 -64 0
70 1 63 1
71 0 -44 0
72 0 -64 0
73 0 -64 0
74 0 -64 0
75 1 63 1
76 1 63 1
77 0 -64 0
78 1 44 1
79 1 63 1
80 0 -64 0
81 0 -64 0
82 0 -64 0
83 0 -64 0
84 1 63 1
85 1 63 1
86 1 63 1
87 0 -64 0
88 0 -64 0
89 1 63 1
90 1 63 1
91 0 -64 0
92 0 -64 0
93 0 -64 0
94 1 63 1
95 1 63 1
96 0 -64 0
97 1 63 1
98 1 63 1
99 1 63 1
100 1 63 1
101 0 -64 0
102 0 -64 0
103 0 -64 0
104 0 -64 0
105 1 63 1
106 0 -64 0
107 0 -64 0
108 1 63 1
109 1 63 1
110 1 63 1
111 1 63 1
112 1 63 1
113 0 -64 0
114 1 63 1
115 0 -64 0
116 0 -64 0
117 0 -64 0
118 0 -64 0
119 0 -64 0
120 1 63 1
121 0 -64 0
122 0 -64 0
123 1 63 1
124 1 63 1
125 1 63 1
126 0 -64 0
127 0 -64 0
128 1 63 1
129 0 -64 0
130 0 -64 0
131 0 -64 0
132 0 -64 0
133 1 63 1
134 0 -64 0
135 1 63 1
136 1 63 1
137 1 63 1
138 1 63 1
139 0 -64 0
140 0 -64 0
141 1 63 1
142 0 -64 0
143 1 63 1
144 0 -64 0
145 1 63 1
146 1 63 1
147 0 -64 0
148 0 -64 0
149 1 63 1
150 0 -64 0
151 0 -64 0
152 0 -64 0
153 0 -64 0
154 1 63 1
155 1 63 1
156 1 63 1
157 1 63 1
158 0 -64 0
159 1 63 1
160 0 -64 0
161 0 -64 0
162 1 63 1
163 1 63 1
164 1 63 1
165 1 63 1
166 0 -64 0
167 1 63 1
168 0 -64 0
169 1 63 1
170 0 -64 0
171 0 -64 0
172 1 63 1
173 0 -64 0
174 0 -64 0
175 1 63 1
176 1 63 1
177 1 63 1
178 0 -64 0
179 0 -64 0
180 1 63 1
181 0 -64 0
182 1 63 1
183 0 -64 0
184 0 -64 0
185 1 63 1
186 0 -64 0
187 1 63 1
188 1 63 1
189 0 -64 0
190 0 -64 0
191 0 -64 0
192 1 63 1
193 1 63 1
194 1 63 1
195 1 63 1
196 0 -49 0
197 0 -64 0
198 1 63 1
199 0 -64 0
200 0 -64 0
201 0 -64 0
202 1 63 1
203 1 49 1
204 1 63 1
205 0 -64 0
206 1 63 1
207 1 63 1
208 0 -64 0
209 1 63 1
210 1 63 1
211 0 -64 0
212 0 -64 0
213 0 -64 0
214 1 63 1
215 1 63 1
216 0 -64 0
217 1 63 1
218 0 -64 0
219 1 63 1
220 0 -64 0
221 0 -64 0
222 1 63 1
223 1 63 1
224 0 -64 0
225 0 -64 0
226 1 63 1
227 0 -64 0
228 0 -64 0
229 1 63 1
230 0 -64 0
231 0 -64 0
232 1 63 1
233 0 -64 0
234 0 -64 0
235 1 63 1
236 0 -64 0
237 1 63 1
238 0 -64 0
239 1 63 1
240 0 -64 0
241 0 -64 0
242 1 63 1
243 1 63 1
244 0 -64 0
245 0 -64 0
246 1 63 1
247 0 -64 0
248 0 -64 0
249 1 63 1
250 1 63 1
251 1 63 1
252 0 -64 0
253 0 -64 0
254 1 63 1
255 0 -64 0
256 0 -64 0
257 0 -64 0
258 0 -64 0
259 1 63 1
260 1 63 1
261 0 -64 0
262 0 -64 0
263 0 -64 0
264 1 63 1
265 1 63 1
266 1 63 1
267 1 63 1
268 1 63 1
269 0 -64 0
270 0 -64 0
271 0 -64 0
272 1 63 1
273 0 -64 0
274 1 63 1
275 0 -64 0
276 0 -64 0
277 1 63 1
278 0 -64 0
279 0 -64 0
280 0 -64 0
281 1 63 1
282 0 -64 0
283 1 63 1
284 1 63 1
285 1 63 1
286 0 -64 0
287 1 63 1
288 1 63 1
289 1 63 1
290 1 63 1
291 1 63 1
292 0 -64 0
293 1 63 1
294 0 -64 0
295 0 -64 0
296 1 63 1
297 0 -64 0
298 0 -64 0
299 0 -64 0
300 1 63 1
301 1 63 1
302 0 -64 0
303 0 -64 0
304 1 63 1
305 1 63 1
306 0 -64 0
307 1 63 1
308 0 -64 0
309 0 -64 0
310 1 63 1
311 1 63 1
312 1 63 1
313 1 63 1
314 1 63 1
315 0 -64 0
316 0 -64 0
317 1 63 1
318 1 63 1
319 0 -64 0
320 1 63 1
321 0 -64 0
322 1 63 1
323 0 -64 0
324 0 -64 0
325 1 63 1
326 0 -64 0
327 0 -64 0
328 1 63 1
329 1 63 1
330 1 63 1
331 0 -64 0
332 1 63 1
333 1 63 1
334 0 -64 0
335 1 63 1
336 0 -64 0
337 0 -64 0
338 0 -64 0
339 0 -64 0
340 0 -64 0
341 0 -64 0
342 0 -64 0
343 1 63 1
344 1 63 1
345 1 63 1
346 0 -64 0
347 1 63 1
348 1 63 1
349 1 63 1
350 0 -64 0
351 0 -64 0
352 1 63 1
353 0 -64 0
354 1 63 1
355 0 -64 0
356 0 -64 0
357 1 63 1
358 1 63 1
359 1 63 1
360 1 63 1
361 1 63 1
362 0 -64 0
363 0 -64 0
364 1 63 1
365 0 -64 0
366 1 63 1
367 1 63 1
368 1 63 1
369 1 63 1
370 0 -64 0
371 0 -64 0
372 1 63 1
373 0 -64 0
374 0 -64 0
375 0 -64 0
376 1 63 1
377 0 -64 0
378 0 -64 0
379 1 63 1
380 0 -64 0
381 1 63 1
382 0 -64 0
383 0 -64 0
384 0 -64 0
385 0 -64 0
386 1 63 1
387 0 -64 0
388 0 -64 0
389 0 -64 0
390 0 -64 0
391 1 63 1
392 0 -64 0
393 0 -52 0
394 1 36 1
395 1 56 1
396 1 50 1
397 1 53 1
398 0 -49 0
399 1 -25 0
400 1 40 1
401 1 35 1
402 0 24 1
403 1 58 1
404 0 -55 0
405 0 15 1
406 1 24 1
407 1 48 1
408 1 -32 0
409 0 -44 0
410 0 -64 0
411 1 63 1
412 0 -53 0
413 1 57 1
414 0 -62 0
415 1 63 1
416 1 63 1
417 1 63 1
418 1 63 1
419 1 63 1
420 0 -64 0
421 0 -64 0
422 0 -64 0
423 0 -64 0
424 1 63 1
425 1 63 1
426 1 63 1
427 0 -64 0
428 1 63 1
429 0 -64 0
430 0 -64 0
431 1 63 1
432 0 -64 0
433 0 -64 0
434 0 -64 0
435 1 63 1
436 1 63 1
437 1 63 1
438 0 -64 0
439 0 -64 0
440 0 -64 0
441 1 63 1
442 1 63 1
443 0 -64 0
444 1 63 1
445 0 -64 0
446 1 63 1
447 1 63 1
448 1 63 1
449 1 63 1
450 0 -64 0
451 0 -64 0
452 0 -64 0
453 0 -64 0
454 0 -64 0
455 1 63 1
456 0 -64 0
457 0 -64 0
458 1 63 1
459 1 63 1
460 1 63 1
461 1 63 1
462 0 -64 0
463 1 63 1
464 0 -64 0
465 1 63 1
466 1 63 1
467 1 63 1
468 0 -64 0
469 1 63 1
470 1 63 1
471 0 -64 0
472 1 63 1
473 1 63 1
474 1 63 1
475 1 63 1
476 1 63 1
477 1 63 1
478 0 -64 0
479 0 -64 0
480 0 -64 0
481 0 -64 0
482 0 -64 0
483 1 63 1
484 0 -64 0
485 0 -64 0
486 1 63 1
487 1 63 1
488 0 -64 0
489 1 63 1
490 1 63 1
491 0 -64 0
492 0 -64 0
493 0 -64 0
494 1 63 1
495 1 63 1
496 0 -64 0
497 1 63 1
498 1 63 1
499 1 63 1
500 1 63 1
501 1 63 1
502 0 -64 0
503 0 -64 0
504 1 63 1
505 1 63 1
506 1 63 1
507 1 63 1
508 0 -64 0
509 1 63 1
510 0 -64 0
511 1 63 1
512 0 -64 0
513 0 -64 0
514 1 63 1
515 0 -64 0
516 0 -64 0
517 0 -64 0
518 0 -64 0
519 0 -64 0
520 1 63 1
521 0 -64 0
522 0 -64 0
523 0 -64 0
524 0 -64 0
525 1 63 1
526 1 63 1
527 0 -64 0
528 1 63 1
529 1 63 1
530 0 -64 0
531 1 63 1
532 1 63 1
533 1 63 1
534 1 63 1
535 1 63 1
536 1 63 1
537 1 63 1
538 0 -64 0
539 1 63 1
540 0 -64 0
541 0 -64 0
542 1 63 1
543 0 -64 0
544 0 -64 0
545 0 -64 0
546 0 -64 0
547 0 -64 0
548 1 63 1
549 0 -64 0
550 0 -64 0
551 0 -64 0
552 1 63 1
553 1 63 1
554 0 -64 0
555 0 -64 0
556 1 63 1
557 1 63 1
558 0 -64 0
559 1 63 1
560 1 63 1
561 0 -64 0
562 1 63 1
563 0 -64 0
564 1 63 1
565 1 63 1
566 1 63 1
567 0 -64 0
568 1 63 1
569 1 63 1
570 1 63 1
571 0 -64 0
572 1 63 1
573 0 -64 0
574 0 33 1
575 1 63 1
576 1 63 1
577 0 -64 0
578 1 63 1
579 1 -43 0
580 0 -64 0
581 0 -33 0
582 1 63 1
583 1 63 1
584 1 63 1
585 1 -43 0
586 0 -64 0
587 0 -64 0
588 0 -41 0
589 1 63 1
590 1 61 1
591 0 -64 0
592 1 63 1
593 0 -64 0
594 0 -61 0
595 1 54 1
596 0 -64 0
597 0 -64 0
598 1 63 1
599 0 -64 0
600 1 63 1
601 0 -64 0
602 1 63 1
603 0 -64 0
