# idx_int bit_int post_llr hard
0 1 30543.19072964 1
1 0 -22994.35496241 0
2 0 -26880.92412348 0
3 0 -18509.21877309 0
4 0 -14840.83340916 0
5 1 40264.42515621 1
6 1 24136.54132496 1
7 0 -26033.25754561 0
8 0 -23718.26621574 0
9 0 -24668.13258169 0
10 0 -29170.43707932 0
11 0 -14512.08757673 0
12 0 -29514.07223133 0
13 1 24241.31368867 1
14 0 -14093.00225085 0
15 1 16137.07509587 1
16 0 -31012.08472448 0
17 1 15212.04126273 1
18 0 -36566.46467650 0
19 0 -25963.38909657 0
20 0 -12170.24615547 0
21 0 -31374.16745715 0
22 1 37527.50904404 1
23 1 18728.99725735 1
24 0 -19354.98842898 0
25 0 -29038.05548646 0
26 0 -28503.99090541 0
27 1 32187.65691723 1
28 1 21470.20944548 1
29 1 37463.79739449 1
30 0 -22019.98756327 0
31 0 -22852.40028624 0
32 0 -32604.55338098 0
33 1 34025.36919667 1
34 0 -30170.33693382 0
35 1 28455.33347710 1
36 0 -4222.23974687 0
37 1 35004.78889924 1
38 0 -28973.49164458 0
39 0 -19548.89101335 0
40 0 -21305.42699149 0
41 0 -28366.24487082 0
42 1 22918.91033133 1
43 1 24077.35195308 1
44 1 24301.50228320 1
45 1 10667.79230486 1
46 1 26792.67198119 1
47 1 20487.28594205 1
48 1 25128.68598099 1
49 1 24438.21976850 1
50 0 -22833.73597325 0
51 0 -33706.26524598 0
52 0 -22885.21845526 0
53 1 30529.76393154 1
54 0 6254.25537074 1
55 1 23450.90881509 1
56 0 -31068.90048445 0
57 1 19279.59781996 1
58 1 19074.79181896 1
59 0 -22953.50410455 0
60 1 42745.41522678 1
61 1 24606.25523895 1
62 0 -3998.84026070 0
63 1 36568.37920006 1
64 1 22186.46935069 1
65 1 28793.08786205 1
66 0 -23295.75085777 0
67 0 -21680.28541846 0
68 0 -22067.27113438 0
69 0 -19564.40652683 0
70 0 -24234.00876772 0
71 1 25346.58031927 1
72 0 -21356.73878699 0
73 0 -22394.01554481 0
74 0 -21720.87202660 0
75 0 -14969.32510259 0
76 1 24434.78270512 1
77 1 19674.60281472 1
78 0 -32345.26006177 0
79 0 -35351.18406962 0
80 0 -20171.26340688 0
81 1 26782.00907130 1
82 0 -31799.46689817 0
83 1 28909.96703347 1
84 1 30894.97650707 1
85 0 -33942.13260468 0
86 1 21314.37577675 1
87 1 17034.53021541 1
88 0 -27734.23793367 0
89 0 -27008.86667915 0
90 0 -27454.54265071 0
91 1 27855.88840277 1
92 1 25533.20678363 1
93 0 -25360.41922008 0
94 0 -26714.91506041 0
95 0 -24118.81996924 0
96 0 -22431.87342474 0
97 0 -31648.39291889 0
98 0 -14568.14295628 0
99 0 -31664.52605515 0
100 1 17523.78503613 1
101 1 23422.90997808 1
102 1 27281.05124592 1
103 1 22732.20463394 1
104 1 27580.66118575 1
105 0 -23355.16047857 0
106 0 -24806.52639248 0
107 1 17641.58502501 1
108 1 21109.14886163 1
109 0 -26639.24393767 0
110 1 21661.77604441 1
111 1 25069.23030782 1
112 0 -19882.90988606 0
113 1 31572.05646056 1
114 1 18281.82378834 1
115 1 36144.19882657 1
116 0 -35908.70290744 0
117 1 27097.24514929 1
118 0 -19797.42775954 0
119 0 -25968.70496707 0
120 1 26215.10025785 1
121 1 9589.50176472 1
122 1 18759.01517042 1
123 1 30279.70545369 1
124 1 27527.05879164 1
125 1 16042.17125219 1
126 1 38721.15124318 1
127 0 -32014.49602027 0
128 0 -22548.17986804 0
129 1 27597.11042622 1
130 0 -31540.40706248 0
131 0 -25559.76328369 0
132 0 -21451.07497040 0
133 1 23172.58208661 1
134 1 16167.80701727 1
135 0 -19033.51567191 0
136 0 -28316.36054012 0
137 0 -21553.20144120 0
138 0 -22323.06929129 0
139 0 -31690.55668906 0
140 1 32721.47066839 1
141 0 -31864.82608407 0
142 1 29566.19289096 1
143 1 24861.45207797 1
144 1 32999.61996793 1
145 0 -24265.93727283 0
146 0 -19418.67154459 0
147 1 29057.87036372 1
148 0 -16157.99015058 0
149 0 -17189.68655485 0
150 1 18533.63119302 1
151 1 26178.95157165 1
152 1 28301.79275141 1
153 0 -26115.20643632 0
154 0 -36348.34063025 0
155 0 -16561.83474208 0
156 1 17765.97671715 1
157 0 -22399.93812873 0
158 1 27607.58073617 1
159 1 26539.04801090 1
160 1 27972.90586019 1
161 0 -27114.50124844 0
162 1 20223.88177624 1
163 1 25879.71423886 1
164 1 16531.57470342 1
165 0 -28354.47879288 0
166 0 -11750.93321546 0
167 0 -16999.88401827 0
168 0 -27394.94730141 0
169 0 -15462.30945963 0
170 1 11539.68043104 1
171 0 -30839.73018280 0
172 1 27799.32818899 1
173 0 -23603.13471770 0
174 1 33253.56578998 1
175 1 21084.93009535 1
176 0 -17842.56465839 0
177 1 38044.21239402 1
178 0 -17573.87629475 0
179 0 -17770.46739523 0
180 1 9468.38761431 1
181 0 -19149.21284358 0
182 0 -23701.91828574 0
183 0 -12599.08394976 0
184 1 30219.64366639 1
185 0 -23598.56320430 0
186 1 24672.46772269 1
187 0 -21225.94261847 0
188 0 -21873.65977908 0
189 0 -33112.05573378 0
190 1 26702.15788358 1
191 1 17902.66554102 1
192 0 -22238.84630845 0
193 0 -24949.19801969 0
194 0 -19029.79282555 0
195 0 -34811.46445797 0
196 0 -11129.34925502 0
197 1 23731.73346615 1
198 0 -23591.31535066 0
199 0 -31794.08604931 0
200 0 9762.91926499 1
201 0 -38862.43146237 0
202 1 27960.19414065 1
203 0 -25360.66832727 0
204 1 30760.52327773 1
205 1 30097.21881604 1
206 1 34590.54728092 1
207 1 29998.07039492 1
208 1 28797.18852656 1
209 0 -24331.30953056 0
210 1 12944.95181076 1
211 0 -16108.11954592 0
212 0 -27675.71597602 0
213 1 26818.04385599 1
214 1 25215.75272848 1
215 1 19452.21209582 1
216 0 -17130.01741238 0
217 0 -14702.68044812 0
218 0 -35593.73966753 0
219 0 -18741.91975694 0
220 1 31984.09956776 1
221 0 -27416.80424383 0
222 1 35302.54878640 1
223 1 23608.27516245 1
224 1 24321.77449899 1
225 1 27653.74464925 1
226 0 -24856.16761284 0
227 1 23254.84579910 1
228 0 -20031.25112368 0
229 0 -19446.25891240 0
230 0 -13138.94401971 0
231 1 33048.41610534 1
232 1 33155.97585915 1
233 1 32408.56649133 1
234 0 -31831.39258524 0
235 1 28583.82724854 1
236 1 26305.27728781 1
237 0 -28675.82013991 0
238 0 -29063.06995279 0
239 0 -21862.10869808 0
240 0 -27103.57197046 0
241 0 -7569.41503762 0
242 1 16492.57100924 1
243 1 35970.78564435 1
244 1 28100.59015815 1
245 1 19994.72941809 1
246 0 -30574.90809775 0
247 0 -17785.39026960 0
248 1 20532.09664730 1
249 1 28185.65055345 1
250 0 -12545.01242457 0
251 1 25517.04702862 1
252 0 -23110.74369254 0
253 1 5634.80500789 1
254 1 23208.03978316 1
255 1 21695.26744952 1
256 0 -36545.40335223 0
257 1 27172.52903157 1
258 0 -15523.31662388 0
259 0 -30826.33742561 0
260 0 -27952.78890675 0
261 1 30487.97759356 1
262 0 -18703.72130755 0
263 1 22033.48494072 1
264 0 -17319.86710460 0
265 1 28113.12348285 1
266 1 25183.46448822 1
267 1 -8823.73662788 0
268 0 -29227.99208359 0
269 0 -21465.50619162 0
270 0 -34961.13814848 0
271 1 13195.63159053 1
272 1 20145.78137481 1
273 1 24531.45981199 1
274 1 16056.12984939 1
275 1 18236.71305154 1
276 1 23281.26263784 1
277 0 -20165.39409260 0
278 1 19186.49556391 1
279 1 23290.52901506 1
280 1 28119.99019559 1
281 1 32960.82735611 1
282 0 -29745.40748340 0
283 1 20884.39198781 1
284 1 38295.81956178 1
285 0 -13940.00090331 0
286 0 -32738.21045184 0
287 0 -33583.46383390 0
288 0 -12389.47426013 0
289 0 -27229.79668238 0
290 1 19017.08654428 1
291 0 -22622.82454976 0
292 0 -25721.21962252 0
293 1 33204.40761895 1
294 0 -26979.25906119 0
295 1 29597.61841686 1
296 0 -17043.84642480 0
297 0 -40407.69959113 0
298 0 -30520.99082507 0
299 0 -10822.54150878 0
300 1 29178.45641428 1
301 0 -26937.73120066 0
302 0 -20785.98321195 0
303 0 -18975.03346379 0
304 0 -28969.81218629 0
305 0 -4017.59384018 0
306 0 -27704.67236667 0
307 0 -23762.28595003 0
308 0 -15902.32729964 0
309 1 26937.29439487 1
310 0 -19441.43766607 0
311 0 -33810.35762076 0
312 0 -31517.69633981 0
313 1 23834.56654090 1
314 0 -30507.74211450 0
315 1 21794.46391281 1
316 0 -22484.30031810 0
317 1 28846.51019880 1
318 1 18170.21049317 1
319 1 30938.00128074 1
320 1 32713.65992862 1
321 0 -26019.85997590 0
322 0 -17419.45664499 0
323 1 27184.04184908 1
324 0 -9598.75579283 0
325 1 27216.21122394 1
326 0 -26942.14470820 0
327 1 27495.08855836 1
328 1 20305.37672635 1
329 1 22449.24554028 1
330 0 -23587.64023294 0
331 0 -22549.40744888 0
332 0 -27654.26060379 0
333 0 -30367.35031958 0
334 0 -20604.46725095 0
335 0 -26203.93737376 0
336 0 -25862.25902833 0
337 1 23387.75649410 1
338 1 21139.00702224 1
339 1 22616.02011195 1
340 0 -23977.64506185 0
341 1 29841.83500616 1
342 0 -28926.52078077 0
343 1 9555.88572153 1
344 1 26507.15491367 1
345 1 30712.49702273 1
346 0 -17628.22725167 0
347 1 27506.71772106 1
348 0 -33112.34034160 0
349 1 13905.17358845 1
350 1 27924.21847761 1
351 0 -7389.96930887 0
352 0 -26950.01068505 0
353 1 31259.50455550 1
354 1 36374.95992111 1
355 0 -20905.49774427 0
356 1 31052.15580467 1
357 1 37310.18033123 1
358 0 -28642.53728728 0
359 0 -25105.68557003 0
360 0 -23131.58627191 0
361 1 31623.21689218 1
362 1 28221.53198344 1
363 1 17168.55798487 1
364 1 39364.85098978 1
365 0 -25332.48345717 0
366 0 -10780.95589726 0
367 0 -24537.80658644 0
368 1 26376.03401270 1
369 0 -29244.43959312 0
370 1 16996.12166125 1
371 1 17149.28793866 1
372 1 22570.55062741 1
373 1 24694.77933606 1
374 1 27989.39749150 1
375 1 24033.36615875 1
376 0 -13265.71363757 0
377 0 -20605.34055637 0
378 1 19047.96763784 1
379 0 -34680.40558588 0
380 0 -12561.69447466 0
381 0 -19763.35061621 0
382 1 20301.62874773 1
383 0 -35030.52586246 0
384 0 -25326.86050137 0
385 1 27305.32565145 1
386 0 -33554.29818279 0
387 1 32424.22773079 1
388 0 6951.49513850 1
389 1 17209.83572920 1
390 1 30681.69544029 1
391 0 -28539.85900173 0
392 1 13143.38011483 1
393 0 -18335.33795066 0
394 1 26069.74355837 1
395 1 19163.31135595 1
396 0 -24223.83670748 0
397 1 12267.23521639 1
398 0 -32742.59054982 0
399 0 -28444.06428796 0
400 0 -32812.30451399 0
401 0 -29358.85482341 0
402 1 17177.35811014 1
403 1 20325.05396493 1
404 1 21413.38120139 1
405 1 27724.43089340 1
406 1 21098.46227704 1
407 0 -21745.87882096 0
408 1 31432.98949450 1
