# idx_orig final_llr seen
0 63 1
1 63 1
2 -64 1
3 -64 1
4 63 1
5 -64 1
6 -64 1
7 -64 1
8 -64 1
9 63 1
10 63 1
11 -64 1
12 -64 1
13 63 1
14 -64 1
15 63 1
16 63 1
17 63 1
18 -64 1
19 63 1
20 63 1
21 63 1
22 -64 1
23 63 1
24 -64 1
25 -64 1
26 -64 1
27 63 1
28 -64 1
29 -64 1
30 -64 1
31 63 1
32 63 1
33 63 1
34 -64 1
35 63 1
36 -64 1
37 63 1
38 -64 1
39 63 1
40 63 1
41 63 1
42 63 1
43 63 1
44 63 1
45 -64 1
46 -64 1
47 63 1
48 63 1
49 -64 1
50 63 1
51 63 1
52 63 1
53 -64 1
54 63 1
55 -64 1
56 63 1
57 -64 1
58 63 1
59 -64 1
60 -64 1
61 63 1
62 63 1
63 -64 1
64 63 1
65 63 1
66 63 1
67 -64 1
68 63 1
69 63 1
70 -64 1
71 63 1
72 63 1
73 63 1
74 63 1
75 -64 1
76 -64 1
77 -64 1
78 63 1
79 -64 1
80 -64 1
81 -64 1
82 -64 1
83 63 1
84 63 1
85 -64 1
86 -64 1
87 63 1
88 -64 1
89 63 1
90 63 1
91 63 1
92 63 1
93 63 1
94 63 1
95 63 1
96 63 1
97 63 1
98 -64 1
99 63 1
100 63 1
101 63 1
102 63 1
103 -64 1
104 -64 1
105 63 1
106 -64 1
107 -64 1
108 63 1
109 -64 1
110 -64 1
111 -64 1
112 -64 1
113 63 1
114 -64 1
115 -64 1
116 63 1
117 63 1
118 63 1
119 63 1
120 63 1
121 63 1
122 63 1
123 -64 1
124 63 1
125 63 1
126 63 1
127 63 1
128 63 1
129 63 1
130 -64 1
131 -64 1
132 -64 1
133 63 1
134 63 1
135 -64 1
136 63 1
137 -64 1
138 63 1
139 63 1
140 63 1
141 63 1
142 63 1
143 63 1
144 63 1
145 -64 1
146 63 1
147 63 1
148 -64 1
149 -64 1
150 -64 1
151 63 1
152 -64 1
153 63 1
154 -64 1
155 63 1
156 -64 1
157 -64 1
158 63 1
159 -64 1
160 63 1
161 63 1
162 -64 1
163 -64 1
164 63 1
165 63 1
166 -64 1
167 63 1
168 -64 1
169 -64 1
170 63 1
171 -64 1
172 -64 1
173 -64 1
174 63 1
175 63 1
176 63 1
177 -64 1
178 -64 1
179 -64 1
180 63 1
181 63 1
182 63 1
183 -64 1
184 -64 1
185 63 1
186 63 1
187 -64 1
188 -64 1
189 -64 1
190 63 1
191 63 1
192 -64 1
193 -64 1
194 -64 1
195 -64 1
196 -64 1
197 63 1
198 -64 1
199 63 1
200 63 1
201 63 1
202 -64 1
203 -64 1
204 -64 1
205 -64 1
206 63 1
207 63 1
208 -64 1
209 63 1
210 63 1
211 63 1
212 -64 1
213 63 1
214 63 1
215 63 1
216 63 1
217 63 1
218 -64 1
219 -64 1
220 63 1
221 -64 1
222 -64 1
223 63 1
224 63 1
225 63 1
226 63 1
227 63 1
228 -64 1
229 63 1
230 -64 1
231 63 1
232 63 1
233 -64 1
234 -64 1
235 63 1
236 63 1
237 -64 1
238 63 1
239 -64 1
240 63 1
241 -64 1
242 63 1
243 63 1
244 -64 1
245 63 1
246 -64 1
247 -64 1
248 -64 1
249 -64 1
250 -64 1
251 63 1
252 63 1
253 63 1
254 -64 1
255 63 1
256 63 1
257 63 1
258 -64 1
259 63 1
260 63 1
261 -64 1
262 -64 1
263 63 1
264 63 1
265 -64 1
266 63 1
267 -64 1
268 -64 1
269 -64 1
270 -64 1
271 -64 1
272 -64 1
273 -64 1
274 63 1
275 63 1
276 -64 1
277 63 1
278 63 1
279 -64 1
280 63 1
281 -64 1
282 -64 1
283 63 1
284 -64 1
285 63 1
286 63 1
287 -64 1
288 63 1
289 63 1
290 -64 1
291 63 1
292 63 1
293 -64 1
294 -64 1
295 -64 1
296 -64 1
297 -64 1
298 63 1
299 -64 1
300 63 1
301 -64 1
302 -64 1
303 63 1
304 -64 1
305 63 1
306 -64 1
307 63 1
308 -64 1
309 63 1
310 63 1
311 63 1
312 63 1
313 -64 1
314 -64 1
315 63 1
316 -64 1
317 -64 1
318 63 1
319 -64 1
320 -64 1
321 63 1
322 63 1
323 63 1
324 -64 1
325 63 1
326 -64 1
327 63 1
328 -64 1
329 -64 1
330 -64 1
331 63 1
332 63 1
333 63 1
334 -64 1
335 -64 1
336 -64 1
337 63 1
338 -64 1
339 63 1
340 63 1
341 63 1
342 -64 1
343 -64 1
344 -64 1
345 63 1
346 63 1
347 -64 1
348 63 1
349 63 1
350 63 1
351 63 1
352 63 1
353 -64 1
354 63 1
355 -64 1
356 63 1
357 -64 1
358 63 1
359 63 1
360 63 1
361 63 1
362 -64 1
363 63 1
364 63 1
365 63 1
366 63 1
367 -64 1
368 63 1
369 -64 1
370 63 1
371 -64 1
372 -64 1
373 -64 1
374 63 1
375 63 1
376 63 1
377 -64 1
378 63 1
379 -64 1
380 63 1
381 63 1
382 63 1
383 63 1
384 63 1
385 -64 1
386 -64 1
387 63 1
388 63 1
389 63 1
390 63 1
391 63 1
392 63 1
393 63 1
394 -64 1
395 -64 1
396 63 1
397 -64 1
398 -64 1
399 63 1
400 -64 1
401 63 1
402 -64 1
403 63 1
404 63 1
405 63 1
406 63 1
407 -64 1
408 63 1
409 63 1
410 63 1
411 63 1
412 -64 1
413 63 1
414 -64 1
415 63 1
416 -64 1
417 63 1
418 63 1
419 -64 1
420 -64 1
421 -64 1
422 -64 1
423 63 1
424 63 1
425 63 1
426 63 1
427 -64 1
428 -64 1
429 63 1
430 -64 1
431 63 1
432 63 1
433 63 1
434 -64 1
435 -64 1
436 63 1
437 -64 1
438 63 1
439 63 1
440 63 1
441 -64 1
442 63 1
443 -64 1
444 -64 1
445 63 1
446 63 1
447 -64 1
448 63 1
449 63 1
450 -64 1
451 63 1
452 63 1
453 63 1
454 -64 1
455 -64 1
456 -64 1
457 63 1
458 63 1
459 63 1
460 -64 1
461 63 1
462 -64 1
463 63 1
464 -64 1
465 63 1
466 63 1
467 -64 1
468 -64 1
469 -64 1
470 63 1
471 -64 1
472 -64 1
473 -64 1
474 63 1
475 -64 1
476 63 1
477 -64 1
478 -64 1
479 -64 1
480 63 1
481 -64 1
482 63 1
483 63 1
484 63 1
485 -64 1
486 63 1
487 -64 1
488 63 1
489 -64 1
490 -64 1
491 63 1
492 63 1
493 63 1
494 63 1
495 -64 1
496 -64 1
497 63 1
498 63 1
499 -64 1
500 -64 1
501 -64 1
502 63 1
503 63 1
504 63 1
505 63 1
506 -64 1
507 63 1
508 -64 1
509 63 1
510 -64 1
511 -64 1
512 63 1
513 63 1
514 63 1
515 63 1
516 63 1
517 63 1
518 63 1
519 63 1
520 -64 1
521 63 1
522 -64 1
523 63 1
524 -64 1
525 63 1
526 -64 1
527 63 1
528 -64 1
529 63 1
530 63 1
531 -64 1
532 63 1
533 -64 1
534 -64 1
535 -64 1
536 -64 1
537 63 1
538 63 1
539 -64 1
540 63 1
541 63 1
542 -64 1
543 63 1
544 63 1
545 -64 1
546 -64 1
547 63 1
548 63 1
549 -64 1
550 -64 1
551 63 1
552 -64 1
553 63 1
554 -64 1
555 63 1
556 63 1
557 -64 1
558 -64 1
559 -64 1
560 -64 1
561 63 1
562 63 1
563 -64 1
564 63 1
565 -64 1
566 -64 1
567 -64 1
568 -64 1
569 63 1
570 -64 1
571 -64 1
572 -64 1
573 -64 1
574 63 1
575 -64 1
576 63 1
577 63 1
578 63 1
579 -64 1
580 -64 1
581 63 1
582 63 1
583 -64 1
584 63 1
585 63 1
586 -64 1
587 -64 1
588 63 1
589 63 1
590 63 1
591 63 1
592 -64 1
593 63 1
594 63 1
595 63 1
596 63 1
597 -64 1
598 -64 1
599 63 1
600 63 1
601 63 1
602 -64 1
603 -64 1
604 63 1
605 63 1
606 63 1
607 -64 1
608 63 1
609 63 1
610 -64 1
611 -64 1
612 -64 1
613 -64 1
614 -64 1
615 63 1
616 63 1
617 63 1
618 63 1
619 63 1
620 63 1
621 63 1
622 63 1
623 -64 1
624 -64 1
625 -64 1
626 -64 1
627 63 1
628 -64 1
629 63 1
630 -64 1
631 -64 1
632 -64 1
633 63 1
634 63 1
635 -64 1
636 63 1
