# idx_int bit_int post_llr hard
0 0 -72284.33839947 0
1 0 -43013.31284313 0
2 0 -62356.29154451 0
3 0 -59448.04474470 0
4 1 70522.56157484 1
5 1 48772.91647244 1
6 0 -76470.41183087 0
7 1 59475.59144927 1
8 1 55435.76789878 1
9 1 65401.12598245 1
10 1 60276.41225948 1
11 0 -67882.71109662 0
12 0 -53988.44143850 0
13 1 54208.04878608 1
14 1 54013.41128304 1
15 1 56511.00164579 1
16 0 -69199.74260992 0
17 0 -59774.59401836 0
18 0 -62916.74869128 0
19 0 -57988.46858227 0
20 0 -75761.45429637 0
21 1 62729.39862691 1
22 0 -61544.04531822 0
23 0 -66199.96277796 0
24 0 -54119.82842870 0
25 1 68749.27185591 1
26 1 64987.67894513 1
27 1 66759.69619115 1
28 0 -50884.33081017 0
29 1 64054.15144589 1
30 0 -63114.02194780 0
31 0 -46441.83743838 0
32 0 -85905.32359116 0
33 0 -60370.71089779 0
34 1 73905.99924423 1
35 0 -40117.72436899 0
36 1 49222.41748849 1
37 1 70786.72932685 1
38 1 52666.18300240 1
39 0 -67804.22541231 0
40 1 54555.43250575 1
41 0 -67043.87092850 0
42 1 53172.35989565 1
43 0 -40987.43752738 0
44 1 66306.96938046 1
45 0 -64414.83069784 0
46 1 51053.39006751 1
47 0 -59643.88655540 0
48 0 -70690.94126293 0
49 0 -64434.06204260 0
50 1 50325.63350592 1
51 1 65471.61775199 1
52 0 -47666.71446265 0
53 1 53247.62202576 1
54 1 61767.46640033 1
55 0 -66026.36957665 0
56 1 60404.41485185 1
57 0 -61371.54999020 0
58 0 -69738.99198399 0
59 1 57457.53967839 1
60 1 58998.51616974 1
61 1 79000.48789915 1
62 0 -64767.73980719 0
63 0 -65142.25615569 0
64 0 -65629.57652209 0
65 0 -73641.31796747 0
66 0 -67475.22410268 0
67 1 62167.63674033 1
68 0 -64605.43502499 0
69 0 -67409.66927177 0
70 1 69381.28106939 1
71 0 -61758.29154217 0
72 0 -60653.37493910 0
73 1 45403.58629394 1
74 0 -67776.70835546 0
75 1 76672.41906584 1
76 0 -74500.43568198 0
77 0 -59992.75399614 0
78 0 -70003.19481716 0
79 0 -62099.95816400 0
80 0 -54696.86549140 0
81 1 61750.79541151 1
82 1 73866.76316906 1
83 0 -76339.86478050 0
84 0 -59159.82378938 0
85 1 48017.93262881 1
86 0 -62618.64767832 0
87 1 55749.59733534 1
88 0 -65874.63162133 0
89 0 -49576.66618337 0
90 1 68423.71965179 1
91 1 52897.24203128 1
92 0 -63328.03221258 0
93 0 -58087.38772999 0
94 0 -61748.47252116 0
95 0 -51888.50652142 0
96 1 63041.92627086 1
97 0 -47924.63341403 0
98 0 -72240.99344526 0
99 1 39894.73444802 1
100 1 65688.41245090 1
101 1 61311.48615478 1
102 0 -76401.98424893 0
103 0 -63473.19874015 0
104 0 -72165.00240745 0
105 1 67761.46771569 1
106 1 51168.37942071 1
107 1 49162.44689155 1
108 1 54827.90129075 1
109 0 -64213.89977509 0
110 0 -71627.15598156 0
111 0 -73725.07425942 0
112 1 62463.79307353 1
113 0 -65443.14786346 0
114 1 64575.59210397 1
115 0 -51790.55752574 0
116 1 74569.27553755 1
117 0 -63473.46590194 0
118 1 56216.09002921 1
119 1 50153.31879185 1
120 1 58650.92687267 1
121 1 66043.44216673 1
122 0 -52609.84317582 0
123 0 -48930.93739209 0
124 1 57495.01675838 1
125 0 -61953.91063127 0
126 0 -66633.20107935 0
127 0 -45364.53931077 0
128 0 -48247.00052384 0
129 0 -64519.40542408 0
130 0 -71529.92743169 0
131 1 60982.47480176 1
132 1 64153.76683813 1
133 1 43341.38177053 1
134 0 -53508.30759965 0
135 1 66287.24413834 1
136 0 -50357.65868335 0
137 0 -75896.24887711 0
138 0 -47544.59343268 0
139 1 59618.66272946 1
140 1 47410.04407600 1
141 0 -44325.50169848 0
142 0 -61346.73624837 0
143 0 -54153.81546490 0
144 1 57785.01234558 1
145 1 61022.17939639 1
146 0 -51287.65564084 0
147 1 45703.38649803 1
148 0 -50903.24707681 0
149 0 -60944.49341466 0
150 0 -58373.59532119 0
151 1 65458.42177775 1
152 0 -60159.61390052 0
153 1 67170.84300217 1
154 1 42799.11376624 1
155 1 59180.81099966 1
156 0 -66537.69935742 0
157 1 66803.66945953 1
158 1 63675.90316980 1
159 1 72306.52518537 1
160 1 72848.61878687 1
161 1 61439.67310671 1
162 0 -55848.34264438 0
163 1 71841.02364109 1
164 0 -61223.44867439 0
165 0 -64228.67492524 0
166 1 76791.83301865 1
167 1 67057.04655462 1
168 1 64104.72354441 1
169 1 45311.76524317 1
170 0 -69589.35282814 0
171 1 64077.29093754 1
172 1 56781.78385463 1
173 1 60529.28026730 1
174 1 55570.51510736 1
175 1 71928.96053231 1
176 1 58960.33576854 1
177 1 55492.40254113 1
178 1 71704.29071996 1
179 0 -37577.63319968 0
180 0 -59402.26863816 0
181 0 -74345.12594211 0
182 0 -57943.28551862 0
183 0 -47467.49260877 0
184 0 -67334.16628018 0
185 0 -51604.64510278 0
186 0 -63636.28494031 0
187 0 -56831.70166224 0
188 0 -60887.11096094 0
189 1 57284.69263617 1
190 0 -41873.17014694 0
191 1 69853.99583524 1
192 0 -58110.85257682 0
193 0 -59669.87195809 0
194 1 79852.89019517 1
195 0 -73887.93543606 0
196 0 32214.93482194 1
197 0 -56307.03870683 0
198 0 -46900.82820274 0
199 0 -64891.67286106 0
200 1 46368.17430981 1
201 1 79241.52349041 1
202 1 67942.53985805 1
203 0 -47405.34419839 0
204 1 62233.96245558 1
205 1 66891.69259767 1
206 0 -52925.52954482 0
207 0 -67094.60632230 0
208 0 -65436.14012028 0
209 1 70561.18689199 1
210 0 -56808.50070965 0
211 1 51848.95496208 1
212 0 -70906.41534664 0
213 0 -60382.88546947 0
214 0 -67666.90246150 0
215 1 63921.82298934 1
216 0 -71411.07717186 0
217 0 -51879.53332230 0
218 0 -52715.83669348 0
219 1 72184.62455157 1
220 1 51898.83350683 1
221 0 -61037.94367481 0
222 0 -81887.93458875 0
223 0 -74590.30035501 0
224 1 42393.39050460 1
225 1 56094.53240457 1
226 1 64259.79856134 1
227 0 -56266.94102636 0
228 0 -62833.61673360 0
229 1 65169.82317162 1
230 1 64515.14260600 1
231 1 40877.47269732 1
232 1 47781.13957099 1
233 1 69523.31327438 1
234 1 43139.66377955 1
235 0 -58052.84800430 0
236 1 64978.65227610 1
237 1 56166.30986136 1
238 0 -75855.44674271 0
239 1 61439.54410078 1
240 1 76981.21882790 1
241 0 -60384.41239189 0
242 1 67660.85390111 1
243 0 -75441.90848907 0
244 1 73790.78893271 1
245 0 -48462.59761943 0
246 0 -64032.94918126 0
247 0 -64495.07719510 0
248 1 59764.70401524 1
249 1 58399.16299320 1
250 1 63168.19950939 1
251 0 -68768.19139947 0
252 0 -63291.31220240 0
253 0 -56778.53536947 0
254 0 -66152.92020345 0
255 1 64510.58680819 1
256 0 -61510.40709493 0
257 0 -64951.90582040 0
258 0 -68023.10641227 0
259 1 63970.55619015 1
260 1 62896.96655786 1
261 0 -50369.44173235 0
262 1 50119.14142315 1
263 1 59832.89897498 1
264 0 -73657.95900022 0
265 1 63679.66328401 1
266 1 68568.70234335 1
267 0 -60499.86582813 0
268 0 -67252.83461998 0
269 1 63573.42940291 1
270 0 -51518.19081013 0
271 1 65734.36996590 1
272 0 -61875.20307286 0
273 1 54278.37522040 1
274 1 44214.03209323 1
275 1 70887.10789198 1
276 0 -57094.61576284 0
277 0 -42315.16480048 0
278 0 -69861.02243775 0
279 0 -68742.35541708 0
280 1 57904.80738103 1
281 0 -54731.11830659 0
282 1 54544.21330249 1
283 0 -46615.42682825 0
284 0 -56578.29360984 0
285 0 -47841.37227181 0
286 1 73006.86408334 1
287 1 58095.21260728 1
288 1 55022.48870903 1
289 0 -63719.31342213 0
290 1 58685.08320388 1
291 1 56141.63736636 1
292 1 58306.34664466 1
293 1 75847.76303859 1
294 1 45791.61001516 1
295 1 64857.87461236 1
296 0 -55397.45740680 0
297 1 50678.65202680 1
298 0 -60381.05852573 0
299 0 -55890.77789083 0
300 0 -65223.21654857 0
301 0 -57293.69868773 0
302 1 51879.96769712 1
303 1 54782.27244703 1
304 1 66691.29106754 1
