# idx_orig bit_orig post_llr hard
0 0 -31864.41434576 0
1 1 29636.23384428 1
2 0 -36215.38975808 0
3 1 32606.56701784 1
4 1 38072.84716207 1
5 1 31547.75334615 1
6 0 -25333.79741591 0
7 1 23367.60356966 1
8 0 -29908.30211246 0
9 1 39096.83728194 1
10 0 -22231.93229120 0
11 0 -35859.46686564 0
12 1 29832.80736976 1
13 0 -23816.22052498 0
14 0 -23411.39770948 0
15 0 -21336.10461227 0
16 0 -29724.55356089 0
17 1 21637.63608381 1
18 0 -32881.26828220 0
19 0 -29252.26203535 0
20 1 20721.25453398 1
21 1 27021.86539607 1
22 0 -26023.33162738 0
23 1 30275.64275298 1
24 1 27994.07819926 1
25 0 -31785.08244226 0
26 0 -28327.32510618 0
27 1 23064.59528966 1
28 1 27604.77783122 1
29 1 27823.80740930 1
30 0 -27853.51965091 0
31 1 30798.45804262 1
32 1 32236.45665074 1
33 1 25511.53228087 1
34 0 -18786.59945276 0
35 1 30531.65082626 1
36 1 25360.38307199 1
37 0 -24401.35599291 0
38 0 -30433.98300073 0
39 0 -25335.85270376 0
40 1 21736.61571082 1
41 0 -11005.55375635 0
42 0 -17595.83355246 0
43 1 16952.55500403 1
44 0 -18505.34415745 0
45 0 -18887.93292933 0
46 0 -19149.23536879 0
47 0 -18696.03743765 0
48 0 -12082.19733967 0
49 0 -18395.66088053 0
50 1 16582.90127760 1
51 1 17710.92760048 1
52 1 23519.92908031 1
53 1 25642.74922203 1
54 1 20970.71808954 1
55 0 -18041.42023378 0
56 0 -24156.28023264 0
57 0 -20443.20517900 0
58 1 22991.57471874 1
59 1 31296.51984016 1
60 1 28532.72119990 1
61 0 -30636.50809181 0
62 1 20348.88631237 1
63 1 34096.16673794 1
64 0 -24349.37293263 0
65 0 -33770.28411441 0
66 0 -27495.75709602 0
67 1 34319.89790535 1
68 0 -32332.61443985 0
69 0 -20360.82115984 0
70 1 31801.22051683 1
71 1 31019.37945349 1
72 1 29921.77938019 1
73 0 -28411.54187819 0
74 1 34652.28775138 1
75 0 -32779.45070292 0
76 0 -24729.99275382 0
77 1 23606.08406692 1
78 1 30775.04202677 1
79 1 29818.92904593 1
80 1 31617.72916830 1
81 1 30086.81912533 1
82 1 30670.28380800 1
83 0 -27545.55538007 0
84 1 25792.20210761 1
85 0 -30476.94070997 0
86 0 -29819.69412656 0
87 0 -28316.26292755 0
88 1 30761.88386146 1
89 0 -31648.23020314 0
90 0 -24543.69240624 0
91 1 28659.99302558 1
92 1 28436.85565285 1
93 1 33734.51262428 1
94 1 29180.89259580 1
95 1 34717.35258089 1
96 0 -36760.86612039 0
97 0 -31627.79167970 0
98 1 36234.45205227 1
99 0 -32105.07795592 0
100 1 37399.06941190 1
101 1 35052.89108890 1
102 1 34104.09652881 1
103 0 -34112.33177977 0
104 0 -19159.95269513 0
105 1 35861.38408271 1
106 0 -37589.29605496 0
107 0 -32851.74318958 0
108 1 31240.08767557 1
109 1 27465.44503193 1
110 1 29316.63269375 1
111 0 -18461.35164334 0
112 0 -36440.47905584 0
113 1 36742.13043597 1
114 0 -28270.43834424 0
115 0 -34045.52568345 0
116 1 27823.83460233 1
117 0 -30371.94884445 0
118 0 -18117.53359808 0
119 0 -31509.56126091 0
120 0 -39527.07078411 0
121 0 -27854.99418848 0
122 0 -34910.39533361 0
123 0 -29305.11055984 0
124 1 33415.37611361 1
125 0 -13945.18279811 0
126 0 -30061.83784696 0
127 0 -33012.23355770 0
128 1 28633.50716713 1
129 1 33159.81145940 1
130 1 31526.94344632 1
131 0 -36255.37484896 0
132 1 13788.09141146 1
133 0 -29655.26129037 0
134 1 31862.58055335 1
135 1 26730.27683587 1
136 0 -30404.05394728 0
137 0 -31349.75669019 0
138 1 31041.46281289 1
139 1 11128.82874037 1
140 1 30201.77476664 1
141 0 -24826.75716256 0
142 0 -31623.97658666 0
143 1 25563.12721081 1
144 0 -28412.06238433 0
145 0 -25123.64778085 0
146 1 13285.62858543 1
147 0 -24558.71288446 0
148 0 -24452.63512074 0
149 1 22879.13138392 1
150 1 18663.06567816 1
151 1 20094.82638328 1
152 0 -26979.05062951 0
153 1 15844.30665941 1
154 1 24832.90023382 1
155 1 31935.01245889 1
156 0 -26213.47022188 0
157 0 -30254.89878591 0
158 1 25555.91274090 1
159 1 28563.88023951 1
160 1 12353.40273084 1
161 0 -28125.78608861 0
162 1 30455.69018742 1
163 0 -35980.59735366 0
164 0 -32685.51134735 0
165 0 -24152.07863541 0
166 0 -29586.40947721 0
167 1 16118.23429092 1
168 1 28654.91172524 1
169 0 -30177.08006111 0
170 0 -24628.15067665 0
171 0 -18314.04453364 0
172 0 -20587.94133930 0
173 0 -22995.89113345 0
174 0 -1930.95655193 0
175 0 -18399.12055194 0
176 1 20241.46405123 1
177 0 -19702.90302950 0
178 1 13757.15708832 1
179 1 12533.22917945 1
180 0 -20253.45545654 0
181 0 -1930.95655193 0
182 0 -23839.31747113 0
183 1 28444.55856383 1
184 0 -24543.01136945 0
185 1 20675.73466286 1
186 0 -24629.70512388 0
187 1 25424.65561116 1
188 1 10050.30977449 1
189 1 27941.02253108 1
190 1 28238.06807901 1
191 1 31808.34671354 1
192 0 -19795.68031413 0
193 0 -26089.04295490 0
194 1 33150.61964911 1
195 1 12923.35230303 1
196 0 -26331.65538232 0
197 0 -28895.51117402 0
198 1 32347.95007836 1
199 1 23772.37600032 1
200 1 27885.09095893 1
201 0 -29842.96814617 0
202 0 -12785.12463783 0
203 0 -31326.12308170 0
204 0 -28869.59098494 0
205 1 30611.86596013 1
206 1 28303.06619284 1
207 0 -24600.32148594 0
208 0 -31535.31338032 0
209 0 -20285.95636688 0
210 0 -39229.54802894 0
211 0 -25815.05675722 0
212 0 -30352.42461489 0
213 0 -27040.69108253 0
214 0 -25120.90727404 0
215 1 32535.05005058 1
216 1 18096.69183247 1
217 1 31760.40469299 1
218 1 24483.66354463 1
219 1 36664.36463798 1
220 0 -27360.08683160 0
221 1 30188.68468700 1
222 0 -23795.12592386 0
223 1 8892.68560892 1
224 1 28115.60532188 1
225 0 -23717.55096864 0
226 0 -26674.45141140 0
