Turbo Decoder End-to-End Report
symbols=6144 n_half_iter=11 f1=263 f2=480 total_outputs=6144 expected_outputs=6144
final_decision_symbols=6144 bit_errors_vs_original=40
idx_orig pi_inv bit_orig bit_int_at_pi_inv l_sys_orig l_par1_orig l_par2_int final_llr hard_dec match_orig
0 0 1 1 -1 -8 -13 63 1 OK
1 5015 1 1 -7 -8 -12 63 1 OK
2 3310 1 1 -13 10 -10 63 1 OK
3 1029 1 1 -7 10 13 63 1 OK
4 4316 1 1 2 3 15 63 1 OK
5 883 1 1 -6 -16 8 63 1 OK
6 3018 1 1 -4 4 -9 63 1 OK
7 4577 1 1 -10 -5 -13 63 1 OK
8 5560 1 1 -4 -15 -12 63 1 OK
9 5967 0 0 1 -5 -9 -64 0 OK
10 5798 1 1 -16 6 -12 63 1 OK
11 5053 1 1 -16 -16 14 63 1 OK
12 3732 0 0 8 15 -5 -64 0 OK
13 1835 0 0 1 -6 7 -64 0 OK
14 5506 1 1 -4 -16 -11 63 1 OK
15 2457 0 0 3 12 -16 -64 0 OK
16 4976 0 0 15 15 -2 -64 0 OK
17 775 0 0 -1 -10 -9 -64 0 OK
18 2142 1 1 1 -1 10 63 1 OK
19 2933 1 1 -16 6 6 63 1 OK
20 3148 0 0 5 -10 -8 -64 0 OK
21 2787 0 0 -2 14 9 -64 0 OK
22 1850 0 0 13 10 -16 -64 0 OK
23 337 0 0 11 -9 -4 -64 0 OK
24 4392 1 1 -5 4 -5 63 1 OK
25 1727 0 0 11 -12 4 -64 0 OK
26 4630 0 0 15 2 4 -64 0 OK
27 813 1 1 -3 15 15 63 1 OK
28 2564 1 1 -11 -5 -16 63 1 OK
29 3739 0 0 2 6 -11 -64 0 OK
30 4338 0 0 9 -10 -16 -64 0 OK
31 4361 0 0 5 10 9 -64 0 OK
32 3808 1 1 0 1 -12 55 1 OK
33 2679 1 1 -10 2 3 63 1 OK
34 974 0 0 13 3 -6 -64 0 OK
35 4837 0 0 3 8 -16 -64 0 OK
36 1980 0 0 -8 3 8 -55 0 OK
37 4691 1 1 -1 -15 -4 55 1 OK
38 682 1 1 -16 -10 -6 63 1 OK
39 2241 0 0 10 -7 -12 -62 0 OK
40 3224 0 0 15 0 -6 -64 0 OK
41 3631 0 0 5 10 -11 -64 0 OK
42 3462 0 0 15 -4 -11 -64 0 OK
43 2717 0 0 15 0 9 -64 0 OK
44 1396 0 0 6 15 0 -64 0 OK
45 5643 0 0 12 -4 6 -64 0 OK
46 3170 1 1 2 15 4 63 1 OK
47 121 0 0 11 -12 0 -64 0 OK
48 2640 1 1 -9 12 -6 63 1 OK
49 4583 0 0 12 -7 -8 -64 0 OK
50 5950 1 1 -4 6 15 63 1 OK
51 597 1 1 -8 12 -16 63 1 OK
52 812 1 1 -5 10 1 63 1 OK
53 451 1 1 -7 -9 10 63 1 OK
54 5658 1 1 -13 9 -1 63 1 OK
55 4145 0 0 -1 11 -16 -64 0 OK
56 2056 1 1 -13 -4 7 63 1 OK
57 5535 0 0 6 11 -7 -64 0 OK
58 2294 1 1 -16 11 5 63 1 OK
59 4621 0 0 3 15 -4 -64 0 OK
60 228 1 1 2 -4 7 63 1 OK
61 1403 0 0 9 2 9 -64 0 OK
62 2002 1 1 -8 -6 -8 63 1 OK
63 2025 1 1 -15 -13 15 63 1 OK
64 1472 0 0 15 4 -11 -64 0 OK
65 343 0 0 15 1 -16 -64 0 OK
66 4782 0 0 12 -16 -5 -64 0 OK
67 2501 1 1 -15 5 15 63 1 OK
68 5788 0 0 11 -12 15 -64 0 OK
69 2355 0 0 12 -16 -4 -64 0 OK
70 4490 1 1 -13 10 11 63 1 OK
71 6049 0 0 4 15 12 -64 0 OK
72 888 0 0 5 11 15 -64 0 OK
73 1295 1 1 -7 -7 -1 63 1 OK
74 1126 0 0 15 13 -16 -64 0 OK
75 381 0 0 3 -16 -6 -64 0 OK
76 5204 0 0 15 12 15 -64 0 OK
77 3307 1 1 -16 -16 1 63 1 OK
78 834 1 1 4 11 -11 63 1 OK
79 3929 1 1 -9 -14 -9 63 1 OK
80 304 0 0 12 9 15 -64 0 OK
81 2247 1 1 -12 7 -10 63 1 OK
82 3614 1 1 -13 -8 0 63 1 OK
83 4405 1 1 -16 6 11 63 1 OK
84 4620 0 0 12 5 -15 -64 0 OK
85 4259 0 0 7 3 -1 -64 0 OK
86 3322 0 0 13 9 -15 -64 0 OK
87 1809 0 0 15 1 11 -64 0 OK
88 5864 0 0 15 15 -9 -64 0 OK
89 3199 0 0 15 15 15 -64 0 OK
90 6102 0 0 7 15 -9 -64 0 OK
91 2285 1 1 -7 -10 4 63 1 OK
92 4036 1 1 -14 2 7 63 1 OK
93 5211 0 0 13 4 2 -64 0 OK
94 5810 1 1 -15 13 -11 63 1 OK
95 5833 0 0 10 0 13 -64 0 OK
96 5280 1 1 -5 -4 12 63 1 OK
97 4151 1 1 -8 -9 -10 63 1 OK
98 2446 0 0 12 1 2 -64 0 OK
99 165 1 1 -3 15 9 63 1 OK
100 3452 0 0 15 6 -15 -64 0 OK
101 19 1 1 -8 -12 15 63 1 OK
102 2154 1 1 -8 -16 13 63 1 OK
103 3713 0 0 15 -10 13 -64 0 OK
104 4696 1 1 -8 12 4 63 1 OK
105 5103 1 1 -13 5 -7 63 1 OK
106 4934 1 1 6 -10 -4 63 1 OK
107 4189 0 0 12 -2 -14 -64 0 OK
108 2868 0 0 0 -13 2 -64 0 OK
109 971 0 0 12 6 -7 -64 0 OK
110 4642 0 0 15 2 2 -64 0 OK
