# idx_orig bit_orig post_llr_q hard
0 0 -64 0
1 1 63 1
2 0 -64 0
3 1 63 1
4 1 63 1
5 1 63 1
6 0 -64 0
7 1 63 1
8 0 -64 0
9 1 63 1
10 0 -64 0
11 0 -64 0
12 1 63 1
13 0 -64 0
14 0 -64 0
15 0 -64 0
16 0 -64 0
17 1 63 1
18 0 -64 0
19 0 -64 0
20 1 63 1
21 1 63 1
22 0 -64 0
23 1 63 1
24 1 63 1
25 0 -64 0
26 0 -64 0
27 1 63 1
28 1 63 1
29 1 63 1
30 0 -64 0
31 1 63 1
32 1 63 1
33 1 63 1
34 0 -64 0
35 1 63 1
36 1 63 1
37 0 -64 0
38 0 -64 0
39 0 -64 0
40 1 63 1
41 0 -64 0
42 0 -64 0
43 1 63 1
44 0 -64 0
45 0 -64 0
46 0 -64 0
47 0 -64 0
48 0 -64 0
49 0 -64 0
50 1 63 1
51 1 63 1
52 1 63 1
53 1 63 1
54 1 63 1
55 0 -64 0
56 0 -64 0
57 0 -64 0
58 1 63 1
59 1 63 1
60 1 63 1
61 0 -64 0
62 1 63 1
63 1 63 1
64 0 -64 0
65 0 -64 0
66 0 -64 0
67 1 63 1
68 0 -64 0
69 0 -64 0
70 1 63 1
71 1 63 1
72 1 63 1
73 0 -64 0
74 1 63 1
75 0 -64 0
76 0 -64 0
77 1 63 1
78 1 63 1
79 1 63 1
80 1 63 1
81 1 63 1
82 1 63 1
83 0 -64 0
84 1 63 1
85 0 -64 0
86 0 -64 0
87 0 -64 0
88 1 63 1
89 0 -64 0
90 0 -64 0
91 1 63 1
92 1 63 1
93 1 63 1
94 1 63 1
95 1 63 1
96 0 -64 0
97 0 -64 0
98 1 63 1
99 0 -64 0
100 1 63 1
101 1 63 1
102 1 63 1
103 0 -64 0
104 0 -64 0
105 1 63 1
106 0 -64 0
107 0 -64 0
108 1 63 1
109 1 63 1
110 1 63 1
111 0 -64 0
112 0 -64 0
113 1 63 1
114 0 -64 0
115 0 -64 0
116 1 63 1
117 0 -64 0
118 0 -64 0
119 0 -64 0
120 0 -64 0
121 0 -64 0
122 0 -64 0
123 0 -64 0
124 1 63 1
125 0 -64 0
126 0 -64 0
127 0 -64 0
128 1 63 1
129 1 63 1
