# idx_int bit_int post_llr_q hard
0 0 -64 0
1 0 -64 0
2 0 -64 0
3 0 -64 0
4 0 -64 0
5 0 -64 0
6 0 -64 0
7 0 -64 0
8 1 63 1
9 0 -64 0
10 1 63 1
11 0 -64 0
12 1 63 1
13 0 -64 0
14 1 63 1
15 1 63 1
16 1 63 1
17 0 -64 0
18 0 -64 0
19 1 63 1
20 1 63 1
21 1 63 1
22 0 -64 0
23 0 -64 0
24 1 63 1
25 0 -64 0
26 0 -64 0
27 0 -64 0
28 0 -64 0
29 1 63 1
30 1 63 1
31 1 63 1
32 1 63 1
33 1 63 1
34 0 -64 0
35 1 63 1
36 1 63 1
37 1 63 1
38 1 63 1
39 1 63 1
40 1 63 1
41 1 63 1
42 0 -64 0
43 1 63 1
44 0 -64 0
45 0 -64 0
46 0 -64 0
47 0 -64 0
48 0 -64 0
49 1 63 1
50 0 -64 0
51 0 -64 0
52 1 63 1
53 1 63 1
54 1 55 1
55 1 63 1
56 1 63 1
57 0 -64 0
58 0 -64 0
59 1 63 1
60 1 63 1
61 1 63 1
62 0 -64 0
63 1 63 1
64 1 63 1
65 0 -64 0
66 0 -64 0
67 1 63 1
68 1 63 1
69 1 63 1
70 1 63 1
71 0 -64 0
72 1 63 1
73 0 -64 0
74 0 -64 0
75 1 63 1
76 1 63 1
77 1 56 1
78 1 63 1
79 1 63 1
80 0 -64 0
81 0 -64 0
82 1 63 1
83 0 -64 0
84 1 63 1
85 0 -64 0
86 0 -64 0
87 1 63 1
88 1 63 1
89 0 -64 0
90 1 63 1
91 0 -64 0
92 0 -64 0
93 0 -64 0
94 0 -64 0
95 1 63 1
96 0 -64 0
97 1 63 1
98 0 -64 0
99 0 -64 0
100 1 63 1
101 0 -64 0
102 1 63 1
103 1 63 1
104 0 -64 0
105 1 63 1
106 1 63 1
107 1 63 1
108 1 63 1
109 1 63 1
110 1 63 1
111 1 63 1
112 0 -64 0
113 0 -64 0
114 0 -64 0
115 1 62 1
116 1 63 1
117 1 63 1
118 0 -64 0
119 1 63 1
120 0 -64 0
121 0 -64 0
122 0 -64 0
123 0 -64 0
124 0 -64 0
125 0 -64 0
126 1 63 1
127 0 -64 0
128 1 63 1
129 1 63 1
130 1 63 1
131 0 -64 0
132 0 -64 0
133 1 63 1
134 0 -64 0
135 1 63 1
136 0 -64 0
137 0 -64 0
138 0 -64 0
139 1 63 1
140 0 -64 0
141 1 63 1
142 0 -64 0
143 1 63 1
144 1 63 1
145 0 -64 0
146 1 63 1
147 1 63 1
148 1 63 1
149 0 -64 0
150 1 63 1
151 0 -64 0
152 0 -64 0
153 1 63 1
154 0 -64 0
155 1 63 1
156 1 63 1
157 0 -64 0
158 1 63 1
159 0 -64 0
160 1 63 1
161 1 63 1
162 1 63 1
163 1 63 1
164 1 63 1
165 0 -64 0
166 0 -64 0
167 0 -64 0
168 0 -64 0
169 0 -64 0
170 1 63 1
171 1 63 1
172 1 63 1
173 1 63 1
174 1 63 1
175 0 -64 0
176 1 63 1
177 0 -64 0
178 0 -64 0
179 1 63 1
180 0 -64 0
181 1 63 1
182 0 -64 0
183 0 -64 0
184 0 -64 0
185 1 63 1
186 1 63 1
187 0 -64 0
188 1 63 1
189 1 63 1
190 1 63 1
191 1 63 1
192 0 -64 0
193 0 -64 0
194 1 63 1
195 0 -64 0
196 0 -64 0
197 0 -64 0
198 1 63 1
199 0 -64 0
200 1 63 1
201 1 63 1
202 0 -64 0
203 0 -64 0
204 1 63 1
205 0 -64 0
206 1 63 1
207 1 63 1
208 1 63 1
209 0 -64 0
210 0 -64 0
211 0 -64 0
212 1 63 1
213 0 -64 0
214 0 -64 0
215 0 -64 0
216 0 -64 0
217 1 63 1
218 0 -64 0
219 1 63 1
220 0 -64 0
221 1 63 1
222 1 63 1
223 0 -64 0
224 0 -64 0
225 0 -64 0
226 0 -64 0
227 0 -64 0
228 1 63 1
229 1 63 1
230 1 63 1
231 0 -64 0
232 0 -64 0
233 1 63 1
234 0 -64 0
235 0 -64 0
236 0 -64 0
237 1 63 1
238 0 -29 0
239 1 63 1
240 1 63 1
241 1 63 1
242 0 -64 0
243 0 -64 0
244 1 63 1
245 0 -64 0
246 0 -64 0
247 0 -64 0
248 0 -64 0
249 0 -64 0
250 0 -64 0
251 0 -64 0
252 0 -64 0
253 1 63 1
254 1 63 1
255 1 63 1
256 0 -64 0
257 1 63 1
258 0 -64 0
259 1 63 1
260 0 -64 0
261 1 59 1
262 0 -64 0
263 0 -64 0
264 0 -64 0
265 0 -64 0
266 0 -64 0
267 1 63 1
268 0 -64 0
269 0 -64 0
270 1 63 1
271 0 -64 0
272 1 63 1
273 1 63 1
274 0 -64 0
275 1 63 1
276 1 63 1
277 0 -64 0
278 0 -64 0
279 0 -64 0
280 1 63 1
281 1 63 1
282 0 -64 0
283 0 -64 0
284 0 -64 0
285 1 63 1
286 0 -64 0
287 1 63 1
288 1 63 1
289 1 63 1
290 1 63 1
291 1 63 1
292 0 -64 0
293 1 63 1
294 1 63 1
295 0 -64 0
296 1 63 1
297 1 63 1
298 0 -64 0
299 1 63 1
300 0 -64 0
301 0 -64 0
302 1 63 1
303 1 63 1
304 1 63 1
305 0 -64 0
306 1 63 1
307 0 -64 0
308 0 -64 0
309 0 -64 0
310 1 63 1
311 1 63 1
312 1 63 1
313 0 -64 0
314 1 63 1
315 0 -64 0
316 0 -64 0
317 1 63 1
318 1 63 1
319 0 -64 0
320 0 -64 0
321 0 -64 0
322 0 -64 0
323 1 63 1
324 0 -64 0
325 0 -64 0
326 0 -64 0
327 0 -64 0
328 1 63 1
329 0 -64 0
330 0 -64 0
331 0 -64 0
332 1 63 1
333 1 63 1
334 1 63 1
335 1 63 1
336 1 63 1
337 1 63 1
338 0 -64 0
339 1 63 1
340 0 -64 0
341 1 63 1
342 1 63 1
343 0 -64 0
344 0 -64 0
345 0 -64 0
346 1 63 1
347 1 63 1
348 1 63 1
349 1 63 1
350 0 -64 0
351 0 -64 0
352 0 -64 0
353 1 63 1
354 0 -64 0
355 1 63 1
356 1 63 1
357 0 -64 0
358 1 63 1
359 0 -64 0
360 1 63 1
361 1 63 1
362 1 63 1
363 0 -64 0
364 1 63 1
365 0 -64 0
366 0 -64 0
367 1 63 1
368 0 -64 0
369 0 -64 0
370 1 63 1
371 0 -64 0
372 1 63 1
373 1 63 1
374 0 -64 0
375 1 63 1
376 1 63 1
377 0 -64 0
378 0 -64 0
379 0 -64 0
380 0 -64 0
381 0 -64 0
382 1 63 1
383 1 63 1
384 0 -64 0
385 1 63 1
386 0 -64 0
387 0 -64 0
388 1 63 1
389 1 63 1
390 1 63 1
391 1 63 1
392 0 -64 0
393 1 63 1
394 0 -64 0
395 0 -64 0
396 1 63 1
397 0 -64 0
398 0 -64 0
399 0 -64 0
400 0 -64 0
401 0 -64 0
402 0 -64 0
403 1 63 1
404 1 63 1
405 0 -64 0
406 1 63 1
407 0 -61 0
408 1 63 1
409 1 63 1
410 0 -64 0
411 0 -64 0
412 0 -64 0
413 0 -64 0
414 0 -64 0
415 1 63 1
416 1 63 1
417 1 63 1
418 1 63 1
419 1 63 1
420 1 63 1
421 0 -64 0
422 0 -64 0
423 0 -64 0
424 0 -64 0
425 1 63 1
426 1 63 1
427 0 -64 0
428 0 -64 0
429 0 -64 0
430 0 -64 0
431 0 -64 0
432 1 63 1
433 1 63 1
434 0 -64 0
435 1 63 1
436 0 -64 0
437 1 63 1
438 0 -64 0
439 1 63 1
440 1 63 1
441 0 -64 0
442 0 -64 0
443 0 -64 0
444 1 63 1
445 1 63 1
446 1 63 1
447 1 63 1
448 0 -64 0
449 0 -64 0
450 0 -64 0
451 1 63 1
452 1 63 1
453 1 63 1
454 0 -64 0
455 0 -64 0
456 0 -64 0
457 0 -64 0
458 0 -64 0
459 0 -64 0
460 0 -64 0
461 1 63 1
462 1 63 1
463 0 -64 0
464 1 63 1
465 0 -64 0
466 1 63 1
467 0 -64 0
468 0 -64 0
469 1 63 1
470 1 63 1
471 1 63 1
472 0 -64 0
473 1 63 1
