# idx_orig bit_orig post_llr hard
0 1 90398.02165136 1
1 1 98204.22056436 1
2 0 -67947.64269256 0
3 0 -80767.01448443 0
4 1 83565.67841039 1
5 0 -68083.15889025 0
6 1 93540.76336480 1
7 1 78053.42554259 1
8 0 -102640.34586109 0
9 1 67721.01339519 1
10 1 84486.37079829 1
11 1 73355.95923609 1
12 1 77420.29963207 1
13 0 -78698.38858262 0
14 0 -73323.78954430 0
15 1 95924.55874028 1
16 0 -56178.57757933 0
17 1 83355.46087463 1
18 0 -89445.11539540 0
19 1 77826.42404444 1
20 1 83667.98565661 1
21 1 89487.02941744 1
22 1 91631.13506968 1
23 0 -68600.35091979 0
24 1 77354.04750593 1
25 1 84792.76669342 1
26 0 -61963.48626828 0
27 0 -74847.00643924 0
28 1 89663.80140529 1
29 1 102348.86150011 1
30 1 66842.61358249 1
31 0 -77048.96920767 0
32 0 -95714.92572531 0
33 0 -69854.68037821 0
34 0 -83788.77486147 0
35 1 95970.45342973 1
36 0 -84443.82696603 0
37 1 75849.93706825 1
38 1 64244.40023776 1
39 0 -92809.93527866 0
40 0 -64668.47083424 0
41 0 -89957.46908712 0
42 0 -83373.31199254 0
43 1 100161.44194988 1
44 1 76569.26267730 1
45 0 -104233.65915303 0
46 1 73287.54525350 1
47 1 75952.08376301 1
48 1 88943.96069385 1
49 1 91314.08347452 1
50 1 105800.86363931 1
51 1 74723.63592452 1
52 1 87274.67104855 1
53 1 67403.67722396 1
54 1 70420.27821472 1
55 0 -102700.06097354 0
56 1 88130.91728326 1
57 0 -94616.50748642 0
58 0 -70903.84931922 0
59 0 -87738.96382288 0
60 0 -78243.20387171 0
61 0 -62300.26092933 0
62 1 93969.98866526 1
63 0 -91385.58991477 0
64 1 90896.81912527 1
65 1 83752.42681165 1
66 0 -93993.02252363 0
67 1 86105.69674320 1
68 0 -49649.17809938 0
69 0 -82087.61175781 0
70 1 79085.19336340 1
71 0 -125532.90041361 0
72 1 55006.72907545 1
73 1 84866.13412214 1
74 0 -67130.69875474 0
75 1 49957.42106215 1
76 0 -74670.22326846 0
77 0 -79478.76200143 0
78 0 -86263.70023819 0
79 1 74585.30837389 1
80 1 69577.12189016 1
81 1 89413.04719106 1
82 1 65131.07398818 1
83 0 -85820.41502134 0
84 0 -90886.38929433 0
85 0 -84637.11626131 0
86 1 55587.80044502 1
87 0 -75163.18932501 0
88 0 -84913.08805226 0
89 1 71996.52348995 1
90 1 88980.12666169 1
91 1 83689.34535773 1
92 0 -82342.43611720 0
93 1 56394.97306857 1
94 1 85481.36935633 1
95 0 -88046.52477928 0
96 1 63838.67673027 1
97 0 -90540.70267185 0
98 1 80309.64503522 1
99 1 94031.14428314 1
100 0 -75987.61541140 0
101 1 84294.23986744 1
102 0 -87937.98880827 0
103 1 54072.04321530 1
104 1 64570.87117762 1
105 0 -91075.51923428 0
106 1 68191.90707788 1
107 1 45663.06143423 1
108 0 -80591.78481613 0
109 1 80089.92679682 1
110 0 -66899.38826151 0
111 1 62285.73493015 1
112 1 68751.17432173 1
113 1 95042.39974312 1
114 0 -44407.61740063 0
115 1 77583.43083759 1
116 0 -78642.75909793 0
117 0 -57216.65812514 0
118 1 56285.42274299 1
119 1 66159.01554666 1
120 0 -88432.23707720 0
121 0 -54043.52138089 0
122 0 -87455.12901570 0
123 1 70898.97569235 1
124 0 -39649.87162539 0
125 1 80921.20546228 1
126 1 78295.22458393 1
127 1 74403.70692014 1
128 1 59190.80844700 1
129 1 81227.36477931 1
130 1 76259.26770014 1
131 0 -44477.98601972 0
132 0 -70598.32392036 0
133 1 73924.78443941 1
134 0 -86770.44407187 0
135 1 65604.75753812 1
136 1 82088.39713679 1
137 0 -73677.97588846 0
138 1 54799.68347521 1
139 0 -75910.72317632 0
140 0 -79527.93712283 0
141 0 -90367.16969826 0
142 0 -60467.19446954 0
143 0 -65047.37358107 0
144 0 -71960.76684867 0
145 0 -59764.57681601 0
146 1 76310.83064403 1
147 1 69078.43867082 1
148 0 -108721.60763779 0
149 0 -70218.25386214 0
150 0 -59685.21630390 0
151 1 82195.44363792 1
152 0 -62806.33999188 0
153 1 87408.95059518 1
154 0 -84588.20202452 0
155 0 -87147.12216804 0
156 0 -52141.66956538 0
157 1 88296.86553451 1
158 1 72046.74772907 1
159 1 40196.16398427 1
160 0 -60727.74211880 0
161 1 89934.81412331 1
162 1 84629.30778712 1
163 0 -52387.33841903 0
164 0 -70618.52616593 0
165 1 73521.61565184 1
166 0 -63364.99345494 0
167 1 81498.29508803 1
168 1 69948.59779566 1
169 0 -85941.48232658 0
170 0 -59403.33278026 0
171 0 -82662.25015034 0
172 0 -71763.89896826 0
173 0 -65457.85818623 0
174 0 -76073.32650348 0
175 1 70306.78054993 1
176 1 83520.54682360 1
177 1 66815.30292781 1
178 0 -66732.35384685 0
179 0 -71013.85399047 0
180 0 -60992.39722957 0
181 0 -95265.09439554 0
182 0 -76463.76910413 0
183 1 84167.16854043 1
184 1 74363.93744078 1
185 1 69703.57152986 1
186 1 79617.16569588 1
187 0 -64377.18859982 0
188 1 93079.10495068 1
189 1 76757.73774940 1
190 0 -72069.80849660 0
191 1 57143.39902711 1
192 1 63008.50024670 1
193 0 -70101.82209370 0
194 0 -60392.62403597 0
195 1 70027.17400430 1
196 0 -80340.68684159 0
197 0 -98028.76269062 0
198 0 -70751.65667289 0
199 1 85114.28624909 1
200 1 73851.13641743 1
201 1 45023.04031816 1
202 0 -74927.33862760 0
203 0 -79655.83113064 0
204 1 89655.34821044 1
205 0 -71576.03464582 0
206 1 81949.65799284 1
207 1 77265.74655859 1
208 0 -67426.65037532 0
209 1 61567.84081658 1
210 1 70854.15459613 1
211 1 83914.89881801 1
212 0 -56472.82184101 0
213 1 81561.19037840 1
214 0 -71901.12274263 0
215 1 63706.56417984 1
216 0 -63560.36691631 0
217 1 80054.00539172 1
218 0 -79663.74322349 0
219 1 77718.20308809 1
220 1 63553.99225345 1
221 0 -90276.55228575 0
222 1 56213.06794922 1
223 1 71539.47962145 1
224 1 77962.62178226 1
225 1 62688.87564666 1
226 0 -74207.04958131 0
227 0 -86600.41122493 0
228 1 87606.49915763 1
229 0 -65241.92074305 0
230 1 71567.14311919 1
231 1 78185.33217439 1
232 0 -76873.33823363 0
233 0 -53432.81450118 0
234 1 70774.37417035 1
235 1 83199.10072394 1
236 0 -65272.28775041 0
237 1 85813.60814719 1
238 0 -91562.45899866 0
239 1 92655.67016829 1
240 0 -61052.02638995 0
241 0 -57635.14449629 0
242 0 -90540.94456770 0
243 1 80815.33954801 1
244 1 76412.33505668 1
245 1 96905.01302155 1
246 1 83537.83552709 1
247 0 -59742.70228993 0
248 0 -54454.89386519 0
249 1 74795.68380068 1
250 0 -46467.71604982 0
251 1 94072.77018746 1
252 0 -77581.14796681 0
253 1 91189.90202495 1
254 0 -69456.84365146 0
255 0 -57562.73212689 0
256 0 -104138.68518388 0
257 1 39358.11507761 1
258 0 -87783.79217114 0
259 0 -64788.25625492 0
260 1 89539.51260333 1
261 0 -56541.14752830 0
262 0 -51484.67114760 0
263 1 87189.49966135 1
264 1 55770.12277086 1
265 1 64093.40345155 1
266 1 83625.66004281 1
267 1 87774.34674981 1
268 0 -59122.80780636 0
269 1 51352.47849742 1
270 1 91580.27545900 1
271 1 43660.11548772 1
272 1 79342.55221974 1
273 1 76728.60114870 1
274 0 -78825.38530081 0
275 1 63865.09454020 1
276 0 -69647.77071233 0
277 1 76679.70147394 1
278 0 -50628.79258405 0
279 0 -83645.89754699 0
280 0 -76436.06102839 0
281 1 92346.58036191 1
282 1 61445.75116822 1
283 1 66682.53923699 1
284 0 -86209.37435114 0
285 1 47885.63556228 1
286 0 -84240.52819961 0
287 0 -80145.32358789 0
288 1 83970.14560220 1
289 0 -70964.74574372 0
290 0 -61342.29418869 0
291 0 -74000.74017689 0
292 0 -54452.18624265 0
293 1 67852.60487997 1
294 1 64051.00236179 1
295 0 -85321.64935866 0
296 0 -75388.60566575 0
297 1 81432.16963259 1
298 1 87331.78251029 1
299 0 -44687.66231459 0
300 1 63902.55415723 1
301 0 -69133.44022334 0
302 0 -90425.69343833 0
303 0 -59866.61681166 0
304 1 65736.99204922 1
305 0 -82951.04337132 0
306 0 -44860.18023444 0
307 1 74308.39385555 1
308 0 -61596.19617261 0
309 1 69244.37758869 1
310 1 74528.34157562 1
311 1 64010.45853120 1
312 0 -78924.69968010 0
313 0 -69505.33611526 0
314 1 74697.56280987 1
315 1 60143.66084041 1
316 1 89561.94426814 1
317 0 -52085.88725042 0
318 1 65526.08126111 1
319 1 79358.81869440 1
320 0 -56198.66357642 0
321 0 -69424.67639814 0
322 1 67918.76529873 1
323 1 101643.96716181 1
324 0 -82330.83220357 0
325 0 -72491.42682130 0
326 0 -72173.37243163 0
327 0 -52903.67053083 0
328 1 79553.97911440 1
329 1 71282.12893584 1
330 1 99347.41662120 1
331 0 -58930.51464009 0
332 1 64771.61523230 1
333 0 -75916.33589961 0
334 0 -61411.71413589 0
335 0 -88966.51408468 0
336 1 64266.35302775 1
337 1 94829.07320438 1
338 1 78565.57928337 1
339 0 -84829.80396104 0
340 1 76023.49322428 1
341 0 -56192.10871310 0
342 1 94600.57692824 1
343 1 73356.36853956 1
344 1 115687.14072441 1
345 1 68517.05436260 1
346 0 -100300.81148832 0
347 0 -68192.18348784 0
348 0 -72352.38639950 0
349 0 -63407.62509996 0
350 0 -61785.37999181 0
351 1 93095.91402668 1
352 0 -72293.56342519 0
