# idx_int bit_int post_llr_q hard
0 0 -64 0
1 0 -31 0
2 0 -25 0
3 1 51 1
4 1 24 1
5 0 -45 0
6 0 -27 0
7 0 -39 0
8 1 56 1
9 0 -19 0
10 1 46 1
11 1 61 1
12 1 34 1
13 0 -38 0
14 1 50 1
15 0 -40 0
16 0 -60 0
17 0 -47 0
18 1 40 1
19 1 19 1
20 1 57 1
21 0 -21 0
22 0 -19 0
23 0 -28 0
24 0 -53 0
25 1 56 1
26 0 -40 0
27 0 -57 0
28 0 -27 0
29 0 -20 0
30 1 52 1
31 0 -51 0
32 1 55 1
33 0 -41 0
34 1 36 1
35 1 30 1
36 1 25 1
37 0 -11 0
38 1 -16 0
39 1 51 1
40 1 16 1
41 1 36 1
42 1 39 1
43 1 32 1
44 1 40 1
45 1 41 1
46 0 -32 0
47 0 -45 0
48 0 -49 0
49 1 24 1
50 1 11 1
51 1 42 1
52 1 56 1
53 0 -12 0
54 0 -57 0
55 0 -26 0
56 1 30 1
57 0 -26 0
58 1 59 1
59 1 9 1
60 1 44 1
61 0 -24 0
62 0 -54 0
63 0 -33 0
64 0 -52 0
65 1 34 1
66 0 -52 0
67 1 29 1
68 0 -51 0
69 0 -42 0
70 0 -49 0
71 0 -57 0
72 0 -40 0
73 1 46 1
74 0 -29 0
75 1 51 1
76 1 19 1
77 0 -45 0
78 1 23 1
79 1 60 1
80 1 10 1
81 1 44 1
82 0 -19 0
83 0 -47 0
84 0 -31 0
85 1 34 1
86 0 -44 0
87 1 40 1
88 1 31 1
89 0 -38 0
90 1 44 1
91 0 -45 0
92 1 56 1
93 1 48 1
94 0 -36 0
95 1 24 1
96 0 -43 0
97 1 26 1
98 1 57 1
99 0 1 1
100 0 -64 0
101 1 59 1
102 1 39 1
103 1 44 1
104 1 43 1
105 0 -38 0
106 1 38 1
107 0 -42 0
108 1 55 1
109 0 -53 0
110 0 -41 0
111 0 -28 0
112 0 -36 0
113 0 -26 0
114 1 16 1
115 0 -49 0
116 0 -23 0
117 1 56 1
118 1 22 1
119 1 39 1
120 0 -11 0
121 1 63 1
122 1 33 1
123 1 39 1
124 0 -34 0
125 1 51 1
126 1 32 1
127 0 -37 0
128 1 42 1
129 1 39 1
130 0 -64 0
131 0 -27 0
132 0 -34 0
133 1 36 1
134 1 43 1
135 0 -37 0
136 1 48 1
137 0 -33 0
138 1 63 1
139 1 32 1
140 1 36 1
141 0 -21 0
142 1 49 1
143 1 37 1
144 0 -31 0
145 0 -38 0
146 0 -33 0
147 1 56 1
148 0 -46 0
149 0 -56 0
150 1 48 1
151 1 33 1
152 0 -35 0
153 0 -51 0
154 1 29 1
155 0 -41 0
156 0 -34 0
157 1 28 1
158 0 -12 0
159 1 28 1
160 1 12 1
161 0 -51 0
162 0 -33 0
163 1 33 1
164 0 -29 0
165 0 -47 0
166 0 -29 0
167 0 -41 0
168 0 -52 0
169 1 55 1
170 0 -31 0
171 1 33 1
172 1 20 1
173 1 34 1
174 1 49 1
175 0 -14 0
176 1 58 1
177 0 -26 0
178 1 44 1
179 0 -5 0
180 1 20 1
181 1 31 1
182 0 -31 0
183 0 -37 0
184 1 33 1
185 0 -45 0
186 0 -47 0
187 0 -28 0
188 1 41 1
189 1 29 1
190 0 -32 0
191 0 -39 0
192 0 -33 0
193 0 -56 0
194 1 36 1
195 0 -56 0
196 1 21 1
197 0 -46 0
198 1 22 1
199 1 40 1
200 1 16 1
201 0 -64 0
202 0 -26 0
203 1 31 1
204 1 39 1
205 1 43 1
206 0 -57 0
207 1 27 1
208 0 -34 0
209 1 41 1
210 0 -20 0
211 1 40 1
212 0 -41 0
213 1 46 1
214 0 -41 0
215 1 44 1
216 0 -45 0
217 0 -19 0
218 0 -31 0
219 1 25 1
220 1 40 1
221 1 10 1
222 0 -39 0
223 1 63 1
224 1 43 1
225 0 -35 0
226 0 -54 0
227 0 -42 0
228 0 -37 0
229 1 37 1
230 1 49 1
231 0 -41 0
232 1 40 1
233 0 -28 0
234 1 21 1
235 1 25 1
236 0 -22 0
237 1 55 1
238 0 -12 0
239 0 -39 0
240 1 -2 0
241 0 -32 0
242 0 -37 0
243 0 -61 0
244 1 52 1
245 0 -38 0
246 1 12 1
247 1 24 1
248 1 35 1
249 1 43 1
250 0 -42 0
251 1 23 1
252 0 -58 0
253 0 -19 0
254 1 46 1
255 1 37 1
256 0 -20 0
257 1 20 1
258 1 49 1
259 0 -21 0
260 1 46 1
261 0 -21 0
262 0 -46 0
263 0 -14 0
264 0 -53 0
265 0 -29 0
266 0 -27 0
267 0 -26 0
268 1 49 1
269 1 56 1
270 1 45 1
271 1 50 1
272 0 -23 0
273 1 43 1
274 1 45 1
275 1 50 1
276 1 31 1
277 0 -54 0
278 0 -24 0
279 1 47 1
280 0 -14 0
281 1 20 1
282 0 -52 0
283 0 -35 0
284 0 -22 0
285 0 -36 0
286 0 -35 0
287 1 32 1
288 0 -44 0
289 1 41 1
290 0 -52 0
291 1 41 1
292 1 46 1
293 0 -24 0
294 0 -31 0
295 1 33 1
296 0 -53 0
297 0 -14 0
298 0 -55 0
299 0 -16 0
300 0 -40 0
301 0 -21 0
302 1 54 1
303 0 -37 0
304 1 35 1
305 0 -34 0
306 0 -39 0
307 1 43 1
308 0 -37 0
309 0 -39 0
310 1 37 1
311 1 26 1
312 0 -52 0
313 0 -49 0
314 0 -40 0
315 0 -57 0
316 0 -24 0
317 0 -45 0
318 0 -26 0
319 0 -59 0
