# idx_orig bit_orig post_llr_q hard
0 0 -64 0
1 1 59 1
2 0 -52 0
3 1 63 1
4 1 52 1
5 1 56 1
6 0 -57 0
7 1 56 1
8 0 -52 0
9 1 56 1
10 0 -64 0
11 0 -57 0
12 1 56 1
13 0 -56 0
14 0 -57 0
15 0 -57 0
16 0 -60 0
17 1 56 1
18 0 -55 0
19 0 -39 0
20 1 46 1
21 1 36 1
22 0 -39 0
23 1 33 1
24 1 33 1
25 0 -36 0
26 0 -33 0
27 1 40 1
28 1 55 1
29 1 41 1
30 0 -49 0
31 1 61 1
32 1 55 1
33 1 36 1
34 0 -40 0
35 1 37 1
36 1 31 1
37 0 -26 0
38 0 -12 0
39 0 -5 0
40 1 16 1
41 0 -21 0
42 0 -33 0
43 1 44 1
44 0 -34 0
45 0 -35 0
46 0 -44 0
47 0 -57 0
48 0 -49 0
49 0 -56 0
50 1 46 1
51 1 50 1
52 1 46 1
53 1 46 1
54 1 46 1
55 0 -56 0
56 0 -45 0
57 0 -45 0
58 1 44 1
59 1 39 1
60 1 36 1
61 0 -32 0
62 1 39 1
63 1 32 1
64 0 -52 0
65 0 -47 0
66 0 -40 0
67 1 32 1
68 0 -37 0
69 0 -38 0
70 1 45 1
71 1 40 1
72 1 40 1
73 0 -38 0
74 1 36 1
75 0 -37 0
76 0 -34 0
77 1 20 1
78 1 22 1
79 1 9 1
80 1 10 1
81 1 31 1
82 1 39 1
83 0 -37 0
84 1 24 1
85 0 -38 0
86 0 -35 0
87 0 -42 0
88 1 35 1
89 0 -20 0
90 0 -20 0
91 1 33 1
92 1 20 1
93 1 43 1
94 1 43 1
95 1 51 1
96 0 -43 0
97 0 -46 0
98 1 59 1
99 0 -59 0
100 1 57 1
101 1 63 1
102 1 54 1
103 0 -61 0
104 0 -53 0
105 1 41 1
106 0 -54 0
107 0 -41 0
108 1 41 1
109 1 41 1
110 1 48 1
111 0 -45 0
112 0 -36 0
113 1 46 1
114 0 -29 0
115 0 -40 0
116 1 25 1
117 0 -33 0
118 0 -26 0
119 0 -21 0
120 0 -14 0
121 0 -24 0
122 0 -37 0
123 0 -37 0
124 1 39 1
125 0 -34 0
126 0 -29 0
127 0 -42 0
128 1 42 1
129 1 37 1
130 1 44 1
131 0 -51 0
132 1 56 1
133 0 -51 0
134 1 50 1
135 1 50 1
136 0 -53 0
137 0 -45 0
138 1 49 1
139 1 40 1
140 1 40 1
141 0 -31 0
142 0 -31 0
143 1 39 1
144 0 -31 0
145 0 -38 0
146 1 38 1
147 0 -45 0
148 0 -51 0
149 1 55 1
150 1 52 1
151 1 41 1
152 0 -52 0
153 1 48 1
154 1 45 1
155 1 44 1
156 0 -22 0
157 0 -47 0
158 1 22 1
159 1 32 1
160 1 12 1
161 0 -21 0
162 1 33 1
163 0 -33 0
164 0 -31 0
165 0 -45 0
166 0 -32 0
167 1 43 1
168 1 56 1
169 0 -53 0
170 0 -52 0
171 0 -41 0
172 0 -58 0
173 0 -41 0
174 0 -41 0
175 0 -41 0
176 1 58 1
177 0 -54 0
178 1 63 1
179 1 60 1
180 0 -64 0
181 0 -64 0
182 0 -54 0
183 1 51 1
184 0 -53 0
185 1 51 1
186 0 -39 0
187 1 24 1
188 1 49 1
189 1 24 1
190 1 49 1
191 1 33 1
192 0 -33 0
193 0 -24 0
194 1 29 1
195 1 24 1
196 0 -23 0
197 0 -19 0
198 1 23 1
199 1 19 1
200 1 16 1
201 0 -21 0
202 0 -25 0
203 0 -14 0
204 0 -22 0
205 1 34 1
206 1 12 1
207 0 -28 0
208 0 -34 0
209 0 -39 0
210 0 -31 0
211 0 -28 0
212 0 -34 0
213 0 -28 0
214 0 -36 0
215 1 30 1
216 1 30 1
217 1 28 1
218 1 40 1
219 1 47 1
220 0 -40 0
221 1 44 1
222 0 -46 0
223 1 31 1
224 1 43 1
225 0 -45 0
226 0 -47 0
227 0 -37 0
228 0 -46 0
229 1 43 1
230 0 -41 0
231 1 42 1
232 0 -40 0
233 1 34 1
234 1 36 1
235 1 33 1
236 0 -24 0
237 1 26 1
238 0 -24 0
239 1 25 1
240 1 -2 0
241 0 -21 0
242 0 -26 0
243 1 37 1
244 0 -29 0
245 0 -29 0
246 1 32 1
247 1 29 1
248 1 31 1
249 1 29 1
250 1 11 1
251 1 26 1
252 1 34 1
253 0 -26 0
254 0 -31 0
255 1 25 1
256 0 -20 0
257 0 -11 0
258 0 -31 0
259 1 28 1
260 1 20 1
261 1 20 1
262 1 49 1
263 0 -47 0
264 1 43 1
265 1 43 1
266 0 -52 0
267 0 -39 0
268 0 -27 0
269 1 39 1
270 1 37 1
271 1 23 1
272 0 -23 0
273 0 -12 0
274 1 21 1
275 0 -14 0
276 1 21 1
277 0 -14 0
278 0 -12 0
279 0 1 1
280 0 -11 0
281 1 10 1
282 0 -19 0
283 0 -28 0
284 1 40 1
285 0 -38 0
286 0 -27 0
287 0 -26 0
288 0 -44 0
289 0 -42 0
290 0 -42 0
291 0 -39 0
292 0 -41 0
293 0 -49 0
294 1 49 1
295 0 -49 0
296 1 48 1
297 1 55 1
298 1 57 1
299 1 51 1
300 1 44 1
301 0 -51 0
302 0 -19 0
303 0 -35 0
304 1 35 1
305 1 34 1
306 0 -27 0
307 1 27 1
308 0 -37 0
309 0 -19 0
310 0 -32 0
311 0 -27 0
312 0 -35 0
313 0 -19 0
314 1 16 1
315 0 -26 0
316 1 19 1
317 0 -26 0
318 1 -16 0
319 0 -16 0
