# idx_int bit_int post_llr hard
0 0 -32.65456913 0
1 0 -16.85005135 0
2 0 -23.02647631 0
3 1 25.31366989 1
4 1 16.41249056 1
5 0 -23.12413420 0
6 0 -26.45248286 0
7 0 -19.38011859 0
8 1 27.56780609 1
9 0 -9.85726148 0
10 1 23.68741406 1
11 1 30.38013004 1
12 1 16.99016439 1
13 0 -21.74091290 0
14 1 25.53844432 1
15 0 -24.21620682 0
16 0 -31.48725939 0
17 0 -24.87425623 0
18 1 22.16493035 1
19 1 16.92796791 1
20 1 28.88194407 1
21 0 -22.68995344 0
22 0 -9.85726148 0
23 0 -13.08647104 0
24 0 -26.54086053 0
25 1 28.24209598 1
26 0 -20.09848143 0
27 0 -32.95346968 0
28 0 -13.92515896 0
29 0 -10.80208114 0
30 1 31.74697526 1
31 0 -26.16114114 0
32 1 32.31998278 1
33 0 -20.35520480 0
34 1 19.49534064 1
35 1 15.37337977 1
36 1 24.21620682 1
37 0 -9.78674928 0
38 1 -8.11438593 0
39 1 25.47973693 1
40 1 27.13653443 1
41 1 18.42489375 1
42 1 21.40557680 1
43 1 15.90966104 1
44 1 24.05894016 1
45 1 23.55406841 1
46 0 -29.52659859 0
47 0 -23.08120572 0
48 0 -28.58677790 0
49 1 11.54940254 1
50 1 9.78674928 1
51 1 22.79364444 1
52 1 31.20564444 1
53 0 -12.33432015 0
54 0 -29.49586796 0
55 0 -14.74534667 0
56 1 15.37337977 1
57 0 -24.72670496 0
58 1 29.78307134 1
59 1 27.10437747 1
60 1 24.12030189 1
61 0 -36.37839960 0
62 0 -28.08984506 0
63 0 -32.61347817 0
64 0 -26.62301090 0
65 1 17.82410151 1
66 0 -25.89033184 0
67 1 13.86990189 1
68 0 -27.71744129 0
69 0 -21.03460468 0
70 0 -24.39852491 0
71 0 -29.49586796 0
72 0 -20.35818508 0
73 1 23.68741406 1
74 0 -24.21620682 0
75 1 25.80222312 1
76 1 9.68142044 1
77 0 -23.85235672 0
78 1 16.78873836 1
79 1 31.37500981 1
80 1 27.10437747 1
81 1 25.98476886 1
82 0 -13.08647104 0
83 0 -24.40439067 0
84 0 -31.40567342 0
85 1 19.27382186 1
86 0 -25.87131555 0
87 1 20.29180066 1
88 1 16.58326864 1
89 0 -21.74091290 0
90 1 23.01062873 1
91 0 -25.47229399 0
92 1 30.94111888 1
93 1 24.87425623 1
94 0 -20.88829961 0
95 1 20.64627510 1
96 0 -26.53062540 0
97 1 18.33615298 1
98 1 28.48007430 1
99 0 -12.23167690 0
100 0 -34.10435572 0
101 1 29.07060314 1
102 1 20.01210731 1
103 1 27.34058442 1
104 1 22.53452505 1
105 0 -27.66672181 0
106 1 21.59981019 1
107 0 -21.18292603 0
108 1 28.80091752 1
109 0 -35.14084848 0
110 0 -23.84442535 0
111 0 -14.41474567 0
112 0 -24.21620682 0
113 0 -12.95180632 0
114 1 8.11438593 1
115 0 -26.70000765 0
116 0 -20.64627510 0
117 1 29.85533311 1
118 1 27.10437747 1
119 1 20.01210731 1
120 0 -12.33432015 0
121 1 36.79768636 1
122 1 28.04681101 1
123 1 21.07682771 1
124 0 -25.07916983 0
125 1 25.31366989 1
126 1 15.70419068 1
127 0 -19.49534064 0
128 1 21.18292603 1
129 1 19.14883774 1
130 0 -32.85213346 0
131 0 -14.74534667 0
132 0 -17.49666351 0
133 1 28.17582960 1
134 1 24.70915157 1
135 0 -31.02523566 0
136 1 23.72232243 1
137 0 -27.95135367 0
138 1 33.55224626 1
139 1 37.16260936 1
140 1 17.91064744 1
141 0 -14.86931224 0
142 1 23.89693986 1
143 1 19.19568755 1
144 0 -16.85005135 0
145 0 -21.03460468 0
146 0 -16.85984108 0
147 1 27.58886792 1
148 0 -24.14072699 0
149 0 -29.33813541 0
150 1 26.77594065 1
151 1 16.41249056 1
152 0 -18.83104258 0
153 0 -25.80591477 0
154 1 14.28931770 1
155 0 -20.35520480 0
156 0 -27.10437747 0
157 1 14.41474567 1
158 0 -12.23167690 0
159 1 14.74618190 1
160 1 29.84829522 1
161 0 -25.47973693 0
162 0 -29.63083170 0
163 1 16.85984108 1
164 0 -33.02385610 0
165 0 -25.51143987 0
166 0 -21.18292603 0
167 0 -23.55406841 0
168 0 -25.92812439 0
169 1 27.50975585 1
170 0 -17.14127883 0
171 1 17.20979734 1
172 1 10.80208114 1
173 1 18.33615298 1
174 1 26.32718519 1
175 0 -12.33432015 0
176 1 28.92472041 1
177 0 -15.29413393 0
178 1 22.09693229 1
179 0 -21.82640827 0
180 1 12.07168556 1
181 1 28.73270187 1
182 0 -16.85005135 0
183 0 -27.21053493 0
184 1 16.85984108 1
185 0 -29.52659859 0
186 0 -25.89595147 0
187 0 -14.86931224 0
188 1 23.55406841 1
189 1 13.86990189 1
190 0 -16.02216841 0
191 0 -22.46927587 0
192 0 -17.47677006 0
193 0 -27.58886792 0
194 1 22.78483417 1
195 0 -32.97200017 0
196 1 18.62432130 1
197 0 -25.05078557 0
198 1 28.04681101 1
199 1 21.30631728 1
200 1 27.10691729 1
201 0 -35.28065423 0
202 0 -25.70720294 0
203 1 15.98572814 1
204 1 21.18292603 1
205 1 22.53452505 1
206 0 -28.24209598 0
207 1 13.42299639 1
208 0 -20.78161930 0
209 1 20.59683836 1
210 0 -10.80208114 0
211 1 22.77677678 1
212 0 -23.72232243 0
213 1 31.59356329 1
214 0 -20.35520480 0
215 1 24.87425623 1
216 0 -22.82594952 0
217 0 -16.78873836 0
218 0 -19.24935395 0
219 1 23.34874448 1
220 1 19.63742695 1
221 1 12.23167690 1
222 0 -20.14084489 0
223 1 34.12649947 1
224 1 24.48784726 1
225 0 -23.64479643 0
226 0 -29.64984016 0
227 0 -22.49779563 0
228 0 -18.40148295 0
229 1 21.44804435 1
230 1 29.45694754 1
231 0 -20.35520480 0
232 1 22.77677678 1
233 0 -14.41474567 0
234 1 15.26347813 1
235 1 14.98115460 1
236 0 -24.87425623 0
237 1 27.97409608 1
238 0 -21.82640827 0
239 0 -22.20611918 0
240 1 23.34874448 1
241 0 -15.90966104 0
242 0 -27.22613624 0
243 0 -31.63898732 0
244 1 25.92812439 1
245 0 -19.63742695 0
246 1 15.74447736 1
247 1 11.54940254 1
248 1 17.95121357 1
249 1 22.79364444 1
250 0 -21.03460468 0
251 1 16.49134217 1
252 0 -33.78351263 0
253 0 -9.68142044 0
254 1 23.68741406 1
255 1 24.72670496 1
256 0 -12.07168556 0
257 1 26.18363745 1
258 1 24.39031734 1
259 0 -27.20609783 0
260 1 32.74565136 1
261 0 -29.52659859 0
262 0 -24.14072699 0
263 0 -14.86931224 0
264 0 -29.64984016 0
265 0 -19.19568755 0
266 0 -13.42299639 0
267 0 -21.90444175 0
268 1 27.73262806 1
269 1 27.58886792 1
270 1 22.78483417 1
271 1 25.07916983 1
272 0 -16.38815691 0
273 1 25.11900494 1
274 1 26.09315648 1
275 1 26.04531658 1
276 1 27.10691729 1
277 0 -27.06222811 0
278 0 -23.34874448 0
279 1 24.78078878 1
280 0 -27.22613624 0
281 1 12.07168556 1
282 0 -25.92812439 0
283 0 -16.79691122 0
284 0 -17.39193760 0
285 0 -18.42489375 0
286 0 -17.95121357 0
287 1 15.90966104 1
288 0 -26.18541162 0
289 1 23.55406841 1
290 0 -29.73387285 0
291 1 26.13125240 1
292 1 23.68741406 1
293 0 -11.54940254 0
294 0 -16.58326864 0
295 1 18.33615298 1
296 0 -28.15104137 0
297 0 -12.33432015 0
298 0 -33.82091864 0
299 0 -8.11438593 0
300 0 -21.63624832 0
301 0 -21.82640827 0
302 1 29.64984016 1
303 0 -27.36225145 0
304 1 17.78503460 1
305 0 -27.83466387 0
306 0 -21.39539238 0
307 1 29.84829522 1
308 0 -24.14902381 0
