# idx_orig bit_orig post_llr hard
0 0 -32.65456913 0
1 1 29.07060314 1
2 0 -25.92812439 0
3 1 34.12649947 1
4 1 25.92812439 1
5 1 28.24209598 1
6 0 -28.24209598 0
7 1 27.58886792 1
8 0 -25.92812439 0
9 1 27.58886792 1
10 0 -32.85213346 0
11 0 -29.49586796 0
12 1 30.94111888 1
13 0 -27.58886792 0
14 0 -29.49586796 0
15 0 -29.49586796 0
16 0 -31.48725939 0
17 1 29.85533311 1
18 0 -33.82091864 0
19 0 -22.20611918 0
20 1 32.74565136 1
21 1 18.42489375 1
22 0 -20.14084489 0
23 1 16.85984108 1
24 1 16.85984108 1
25 0 -18.42489375 0
26 0 -16.85984108 0
27 1 20.29180066 1
28 1 28.80091752 1
29 1 20.59683836 1
30 0 -24.39852491 0
31 1 30.38013004 1
32 1 32.31998278 1
33 1 28.17582960 1
34 0 -25.87281395 0
35 1 24.72670496 1
36 1 27.10691729 1
37 0 -24.72670496 0
38 0 -21.82640827 0
39 0 -21.82640827 0
40 1 27.10691729 1
41 0 -21.82640827 0
42 0 -29.63083170 0
43 1 27.34058442 1
44 0 -25.07916983 0
45 0 -23.64479643 0
46 0 -25.87131555 0
47 0 -32.95346968 0
48 0 -28.58677790 0
49 0 -29.33813541 0
50 1 23.68741406 1
51 1 25.07916983 1
52 1 23.68741406 1
53 1 23.68741406 1
54 1 23.68741406 1
55 0 -32.97200017 0
56 0 -22.82594952 0
57 0 -22.95189257 0
58 1 22.09693229 1
59 1 20.01210731 1
60 1 17.91064744 1
61 0 -15.90966104 0
62 1 20.01210731 1
63 1 15.90966104 1
64 0 -26.62301090 0
65 0 -25.51143987 0
66 0 -20.09848143 0
67 1 15.90966104 1
68 0 -24.14902381 0
69 0 -21.74091290 0
70 1 22.78483417 1
71 1 22.77677678 1
72 1 22.77677678 1
73 0 -21.74091290 0
74 1 22.78483417 1
75 0 -31.02523566 0
76 0 -27.10437747 0
77 1 26.18363745 1
78 1 27.10437747 1
79 1 27.10437747 1
80 1 27.10437747 1
81 1 28.73270187 1
82 1 21.40557680 1
83 0 -27.36225145 0
84 1 16.41249056 1
85 0 -27.66672181 0
86 0 -17.95121357 0
87 0 -22.49779563 0
88 1 17.95121357 1
89 0 -10.80208114 0
90 0 -10.80208114 0
91 1 16.41249056 1
92 1 10.80208114 1
93 1 25.11900494 1
94 1 24.70915157 1
95 1 25.80222312 1
96 0 -26.53062540 0
97 0 -25.05078557 0
98 1 29.78307134 1
99 0 -29.78307134 0
100 1 28.88194407 1
101 1 36.79768636 1
102 1 29.64984016 1
103 0 -31.63898732 0
104 0 -29.64984016 0
105 1 23.55406841 1
106 0 -29.64984016 0
107 0 -23.55406841 0
108 1 23.55406841 1
109 1 23.55406841 1
110 1 26.77594065 1
111 0 -25.47229399 0
112 0 -24.21620682 0
113 1 31.59356329 1
114 0 -24.21620682 0
115 0 -24.21620682 0
116 1 24.21620682 1
117 0 -27.95135367 0
118 0 -27.95135367 0
119 0 -27.20609783 0
120 0 -27.22613624 0
121 0 -36.37839960 0
122 0 -27.22613624 0
123 0 -27.21053493 0
124 1 21.18292603 1
125 0 -27.83466387 0
126 0 -21.18292603 0
127 0 -21.18292603 0
128 1 21.18292603 1
129 1 21.44804435 1
130 1 23.01062873 1
131 0 -26.16114114 0
132 1 31.20564444 1
133 0 -25.80591477 0
134 1 25.53844432 1
135 1 26.04531658 1
136 0 -28.15104137 0
137 0 -23.85235672 0
138 1 24.39031734 1
139 1 21.30631728 1
140 1 19.63742695 1
141 0 -16.85005135 0
142 0 -16.85005135 0
143 1 21.07682771 1
144 0 -16.85005135 0
145 0 -19.63742695 0
146 1 21.59981019 1
147 0 -23.08120572 0
148 0 -27.71744129 0
149 1 27.50975585 1
150 1 31.74697526 1
151 1 26.13125240 1
152 0 -31.74697526 0
153 1 24.87425623 1
154 1 26.09315648 1
155 1 24.87425623 1
156 0 -24.87425623 0
157 0 -24.87425623 0
158 1 28.04681101 1
159 1 37.16260936 1
160 1 29.84829522 1
161 0 -29.52659859 0
162 1 28.04681101 1
163 0 -32.61347817 0
164 0 -31.40567342 0
165 0 -29.52659859 0
166 0 -29.52659859 0
167 1 29.84829522 1
168 1 27.56780609 1
169 0 -35.14084848 0
170 0 -29.73387285 0
171 0 -20.35520480 0
172 0 -33.78351263 0
173 0 -20.35520480 0
174 0 -20.35520480 0
175 0 -20.35520480 0
176 1 28.92472041 1
177 0 -27.06222811 0
178 1 33.55224626 1
179 1 31.37500981 1
180 0 -34.10435572 0
181 0 -35.28065423 0
182 0 -28.08984506 0
183 1 25.31366989 1
184 0 -26.54086053 0
185 1 25.31366989 1
186 0 -21.39539238 0
187 1 11.54940254 1
188 1 27.73262806 1
189 1 11.54940254 1
190 1 29.45694754 1
191 1 17.20979734 1
192 0 -17.47677006 0
193 0 -11.54940254 0
194 1 14.28931770 1
195 1 20.64627510 1
196 0 -20.64627510 0
197 0 -16.78873836 0
198 1 16.78873836 1
199 1 16.92796791 1
200 1 27.13653443 1
201 0 -14.86931224 0
202 0 -23.02647631 0
203 0 -14.86931224 0
204 0 -17.39193760 0
205 1 17.82410151 1
206 1 15.74447736 1
207 0 -14.86931224 0
208 0 -20.78161930 0
209 0 -19.79273519 0
210 0 -17.14127883 0
211 0 -14.41474567 0
212 0 -17.49666351 0
213 0 -14.41474567 0
214 0 -20.88829961 0
215 1 15.37337977 1
216 1 15.37337977 1
217 1 14.41474567 1
218 1 22.16493035 1
219 1 24.78078878 1
220 0 -21.63624832 0
221 1 25.98476886 1
