total_symbols=40
rtl_coverage=40
hard_errors_vs_reference=9
sign_mismatch_vs_reference=9
mean_abs_llr_delta=195567.239673

RTL vs Floating Reference (Interleaved Domain)
idx bit_int ref_hard rtl_hard ref_llr rtl_llr sign_match
0 0 0 0 240742.18969359 23 OK
1 0 0 0 217215.54201836 50 OK
2 0 0 0 195121.68313534 23 OK
3 0 0 0 77964.99878305 33 OK
4 1 1 1 -336982.34226242 -23 OK
5 0 0 0 144689.25669938 31 OK
6 0 0 0 249523.69618803 27 OK
7 1 1 1 -228553.54194766 -41 OK
8 1 1 1 -229035.59836210 -33 OK
9 0 0 0 144031.69731010 60 OK
10 0 1 0 -1461.50174728 17 ERR
11 1 1 1 -317527.64603263 -41 OK
12 1 1 1 -148145.27864799 -35 OK
13 1 1 1 -240292.50287123 -38 OK
14 0 0 0 197511.94556322 41 OK
15 0 0 1 220205.20269514 -17 ERR
16 0 0 0 203989.13824507 27 OK
17 1 1 0 -49867.43538226 17 ERR
18 0 0 1 293475.38112140 -4 ERR
19 1 1 1 -152085.39952977 -17 OK
20 1 1 0 -257750.65077295 17 ERR
21 1 1 1 -230306.45388580 -42 OK
22 0 0 0 235219.72089661 55 OK
23 0 1 1 -144031.69731010 -58 OK
24 1 1 1 -45799.13572104 -41 OK
25 1 1 0 -319222.13989598 3 ERR
26 0 1 1 -156568.00943337 -21 OK
27 0 0 0 258929.29595663 11 OK
28 1 1 1 -222776.56495419 -71 OK
29 1 1 0 -239743.85293833 6 ERR
30 0 0 0 216252.88363160 6 OK
31 1 1 1 -1461.50174728 -54 OK
32 0 0 0 240292.50287123 5 OK
33 1 1 1 -158678.84505943 -13 OK
34 0 0 0 259977.59779146 27 OK
35 1 1 0 -201305.35071630 6 ERR
36 1 1 1 -197511.94556322 -41 OK
37 1 1 0 -199805.08637361 6 ERR
38 0 0 0 45761.11682944 6 OK
39 1 1 1 -303825.25634308 -51 OK
