total_symbols=3200
rtl_coverage=3200
malformed_out_lines=0
hard_errors_vs_reference=4
sign_mismatch_vs_reference=4
mean_abs_llr_delta=0.406562
floating_coverage=3200
hard_errors_vs_floating=3
sign_mismatch_vs_floating=3
mean_abs_llr_delta_vs_floating=120800.953685

RTL vs Fixed-Point Reference (Original Domain)
idx bit_orig ref_hard rtl_hard ref_llr rtl_llr sign_match
0 0 0 0 -64.00000000 -64 OK
1 1 1 1 63.00000000 63 OK
2 0 0 0 -64.00000000 -64 OK
3 1 1 1 63.00000000 63 OK
4 1 1 1 63.00000000 63 OK
5 1 1 1 63.00000000 63 OK
6 0 0 0 -64.00000000 -64 OK
7 1 1 1 63.00000000 63 OK
8 0 0 0 -64.00000000 -64 OK
9 1 1 1 63.00000000 63 OK
10 0 0 0 -64.00000000 -64 OK
11 0 0 0 -64.00000000 -64 OK
12 1 1 1 63.00000000 63 OK
13 0 0 0 -64.00000000 -64 OK
14 0 0 0 -64.00000000 -64 OK
15 0 0 0 -64.00000000 -64 OK
16 0 0 0 -64.00000000 -64 OK
17 1 1 1 63.00000000 63 OK
18 0 0 0 -64.00000000 -64 OK
19 0 0 0 -64.00000000 -64 OK
20 1 1 1 63.00000000 63 OK
21 1 1 1 63.00000000 63 OK
22 0 0 0 -64.00000000 -64 OK
23 1 1 1 63.00000000 63 OK
24 1 1 1 63.00000000 63 OK
25 0 0 0 -64.00000000 -64 OK
26 0 0 0 -64.00000000 -64 OK
27 1 1 1 63.00000000 63 OK
28 1 1 1 63.00000000 63 OK
29 1 1 1 63.00000000 63 OK
30 0 0 0 -64.00000000 -64 OK
31 1 1 1 63.00000000 63 OK
32 1 1 1 63.00000000 63 OK
33 1 1 1 63.00000000 63 OK
34 0 0 0 -64.00000000 -64 OK
35 1 1 1 63.00000000 63 OK
36 1 1 1 63.00000000 63 OK
37 0 0 0 -64.00000000 -64 OK
38 0 0 0 -64.00000000 -64 OK
39 0 0 0 -64.00000000 -64 OK
40 1 1 1 63.00000000 63 OK
41 0 0 0 -64.00000000 -64 OK
42 0 0 0 -64.00000000 -64 OK
43 1 1 1 63.00000000 63 OK
44 0 0 0 -64.00000000 -64 OK
45 0 0 0 -64.00000000 -64 OK
46 0 0 0 -64.00000000 -64 OK
47 0 0 0 -64.00000000 -64 OK
48 0 0 0 -64.00000000 -64 OK
49 0 0 0 -64.00000000 -64 OK
50 1 1 1 63.00000000 63 OK
51 1 1 1 63.00000000 63 OK
52 1 1 1 63.00000000 63 OK
53 1 1 1 63.00000000 63 OK
54 1 1 1 63.00000000 63 OK
55 0 0 0 -64.00000000 -64 OK
56 0 0 0 -64.00000000 -64 OK
57 0 0 0 -64.00000000 -64 OK
58 1 1 1 63.00000000 63 OK
59 1 1 1 63.00000000 63 OK
60 1 1 1 63.00000000 63 OK
61 0 0 0 -64.00000000 -64 OK
62 1 1 1 63.00000000 63 OK
63 1 1 1 63.00000000 63 OK
64 0 0 0 -64.00000000 -64 OK
65 0 0 0 -64.00000000 -64 OK
66 0 0 0 -64.00000000 -64 OK
67 1 1 1 63.00000000 63 OK
68 0 0 0 -64.00000000 -64 OK
69 0 0 0 -64.00000000 -64 OK
70 1 1 1 63.00000000 63 OK
71 1 1 1 63.00000000 63 OK
72 1 1 1 63.00000000 63 OK
73 0 0 0 -64.00000000 -64 OK
74 1 1 1 63.00000000 63 OK
75 0 0 0 -64.00000000 -64 OK
76 0 0 0 -64.00000000 -64 OK
77 1 1 1 63.00000000 63 OK
78 1 1 1 63.00000000 63 OK
79 1 1 1 63.00000000 63 OK
80 1 1 1 63.00000000 63 OK
81 1 1 1 63.00000000 63 OK
82 1 1 1 63.00000000 63 OK
83 0 0 0 -64.00000000 -64 OK
84 1 1 1 63.00000000 63 OK
85 0 0 0 -64.00000000 -64 OK
86 0 0 0 -64.00000000 -64 OK
87 0 0 0 -64.00000000 -64 OK
88 1 1 1 63.00000000 63 OK
89 0 0 0 -64.00000000 -64 OK
90 0 0 0 -64.00000000 -64 OK
91 1 1 1 63.00000000 63 OK
92 1 1 1 63.00000000 63 OK
93 1 1 1 63.00000000 63 OK
94 1 1 1 63.00000000 63 OK
95 1 1 1 63.00000000 63 OK
96 0 0 0 -64.00000000 -64 OK
97 0 0 0 -64.00000000 -64 OK
98 1 1 1 63.00000000 63 OK
99 0 0 0 -64.00000000 -64 OK
100 1 1 1 63.00000000 63 OK
101 1 1 1 63.00000000 63 OK
102 1 1 1 63.00000000 63 OK
103 0 0 0 -64.00000000 -64 OK
104 0 0 0 -64.00000000 -64 OK
105 1 1 1 63.00000000 63 OK
106 0 0 0 -64.00000000 -64 OK
107 0 0 0 -64.00000000 -64 OK
108 1 1 1 63.00000000 63 OK
109 1 1 1 63.00000000 63 OK
110 1 1 1 63.00000000 63 OK
111 0 0 0 -64.00000000 -64 OK
112 0 0 0 -64.00000000 -64 OK
113 1 1 1 63.00000000 63 OK
114 0 0 0 -64.00000000 -64 OK
115 0 0 0 -64.00000000 -64 OK
116 1 1 1 63.00000000 63 OK
117 0 0 0 -64.00000000 -64 OK
118 0 0 0 -64.00000000 -64 OK
119 0 0 0 -64.00000000 -64 OK
120 0 0 0 -64.00000000 -64 OK
121 0 0 0 -64.00000000 -64 OK
122 0 0 0 -64.00000000 -64 OK
123 0 0 0 -64.00000000 -64 OK
124 1 1 1 63.00000000 63 OK
125 0 0 0 -64.00000000 -64 OK
126 0 0 0 -64.00000000 -64 OK
127 0 0 0 -64.00000000 -64 OK
128 1 1 1 63.00000000 63 OK
129 1 1 1 63.00000000 63 OK
130 1 1 1 63.00000000 63 OK
131 0 0 0 -64.00000000 -64 OK
132 1 1 1 63.00000000 63 OK
133 0 0 0 -64.00000000 -64 OK
134 1 1 1 63.00000000 63 OK
135 1 1 1 63.00000000 63 OK
136 0 0 0 -64.00000000 -64 OK
137 0 0 0 -64.00000000 -64 OK
138 1 1 1 63.00000000 63 OK
139 1 1 1 63.00000000 63 OK
140 1 1 1 63.00000000 63 OK
141 0 0 0 -64.00000000 -64 OK
142 0 0 0 -64.00000000 -64 OK
143 1 1 1 63.00000000 63 OK
144 0 0 0 -64.00000000 -64 OK
145 0 0 0 -64.00000000 -64 OK
146 1 1 1 63.00000000 63 OK
147 0 0 0 -64.00000000 -64 OK
148 0 0 0 -64.00000000 -64 OK
149 1 1 1 63.00000000 63 OK
150 1 1 1 63.00000000 63 OK
151 1 1 1 63.00000000 63 OK
152 0 0 0 -64.00000000 -64 OK
153 1 1 1 63.00000000 63 OK
154 1 1 1 63.00000000 63 OK
155 1 1 1 63.00000000 63 OK
156 0 0 0 -64.00000000 -64 OK
157 0 0 0 -64.00000000 -64 OK
158 1 1 1 63.00000000 63 OK
159 1 1 1 63.00000000 63 OK
160 1 1 1 63.00000000 63 OK
161 0 0 0 -64.00000000 -64 OK
162 1 1 1 63.00000000 63 OK
163 0 0 0 -64.00000000 -64 OK
164 0 0 0 -64.00000000 -64 OK
165 0 0 0 -64.00000000 -64 OK
166 0 0 0 -64.00000000 -64 OK
167 1 1 1 63.00000000 63 OK
168 1 1 1 63.00000000 63 OK
169 0 0 0 -64.00000000 -64 OK
170 0 0 0 -64.00000000 -64 OK
171 0 0 0 -64.00000000 -64 OK
172 0 0 0 -64.00000000 -64 OK
173 0 0 0 -64.00000000 -64 OK
174 0 0 0 -64.00000000 -64 OK
175 0 0 0 -64.00000000 -64 OK
176 1 1 1 63.00000000 63 OK
177 0 0 0 -64.00000000 -64 OK
178 1 1 1 63.00000000 63 OK
179 1 1 1 63.00000000 63 OK
180 0 0 0 -64.00000000 -64 OK
181 0 0 0 -64.00000000 -64 OK
182 0 0 0 -64.00000000 -64 OK
183 1 1 1 63.00000000 63 OK
184 0 0 0 -64.00000000 -64 OK
185 1 1 1 63.00000000 63 OK
186 0 0 0 -64.00000000 -64 OK
187 1 1 1 63.00000000 63 OK
188 1 1 1 63.00000000 63 OK
189 1 1 1 63.00000000 63 OK
190 1 1 1 63.00000000 63 OK
191 1 1 1 63.00000000 63 OK
192 0 0 0 -64.00000000 -64 OK
193 0 0 0 -64.00000000 -64 OK
194 1 1 1 63.00000000 63 OK
195 1 1 1 63.00000000 63 OK
196 0 0 0 -64.00000000 -64 OK
197 0 0 0 -64.00000000 -64 OK
198 1 1 1 63.00000000 63 OK
199 1 1 1 63.00000000 63 OK
200 1 1 1 63.00000000 63 OK
201 0 0 0 -64.00000000 -64 OK
202 0 0 0 -64.00000000 -64 OK
203 0 0 0 -64.00000000 -64 OK
204 0 0 0 -64.00000000 -64 OK
205 1 1 1 63.00000000 63 OK
206 1 1 1 63.00000000 63 OK
