total_symbols=6144
rtl_coverage=6144
rtl_bit_errors_vs_original=4570
rtl_ber_vs_original=0.74381510
fixed_reference_bit_errors_vs_original=6141
fixed_reference_ber_vs_original=0.99951172
hard_errors_vs_reference=1571
sign_mismatch_vs_reference=1571
mean_abs_llr_delta=40.471354
floating_coverage=6144
floating_reference_bit_errors_vs_original=6139
floating_reference_ber_vs_original=0.99918620
hard_errors_vs_floating=1573
sign_mismatch_vs_floating=1573
mean_abs_llr_delta_vs_floating=52215.269648

RTL vs Fixed-Point Reference (Original Domain)
idx bit_orig ref_hard rtl_hard ref_llr rtl_llr sign_match rtl_match_orig ref_match_orig
0 0 1 1 -64.00000000 -64 OK ERR ERR
1 1 0 0 63.00000000 63 OK ERR ERR
2 0 1 1 -64.00000000 -64 OK ERR ERR
3 1 0 0 63.00000000 63 OK ERR ERR
4 1 0 0 63.00000000 63 OK ERR ERR
5 1 0 0 63.00000000 63 OK ERR ERR
6 0 1 1 -64.00000000 -62 OK ERR ERR
7 1 0 0 63.00000000 63 OK ERR ERR
8 0 1 1 -64.00000000 -64 OK ERR ERR
9 1 0 0 63.00000000 63 OK ERR ERR
10 0 1 1 -64.00000000 -64 OK ERR ERR
11 0 1 1 -64.00000000 -64 OK ERR ERR
12 1 0 0 63.00000000 55 OK ERR ERR
13 0 1 1 -64.00000000 -32 OK ERR ERR
14 0 1 1 -64.00000000 -64 OK ERR ERR
15 0 1 1 -64.00000000 -48 OK ERR ERR
16 0 1 1 -64.00000000 -64 OK ERR ERR
17 1 0 0 63.00000000 63 OK ERR ERR
18 0 1 1 -64.00000000 -31 OK ERR ERR
19 0 1 1 -64.00000000 -35 OK ERR ERR
20 1 0 0 63.00000000 63 OK ERR ERR
21 1 0 0 63.00000000 63 OK ERR ERR
22 0 1 0 -64.00000000 63 ERR OK ERR
23 1 0 0 63.00000000 57 OK ERR ERR
24 1 0 0 63.00000000 57 OK ERR ERR
25 0 1 1 -64.00000000 -64 OK ERR ERR
26 0 1 1 -64.00000000 -64 OK ERR ERR
27 1 0 0 63.00000000 63 OK ERR ERR
28 1 0 0 63.00000000 63 OK ERR ERR
29 1 0 0 63.00000000 63 OK ERR ERR
30 0 1 0 -64.00000000 1 ERR OK ERR
31 1 0 0 63.00000000 53 OK ERR ERR
32 1 0 1 63.00000000 -24 ERR OK ERR
33 1 0 0 63.00000000 12 OK ERR ERR
34 0 1 1 -64.00000000 -24 OK ERR ERR
35 1 0 0 63.00000000 30 OK ERR ERR
36 1 0 1 63.00000000 -22 ERR OK ERR
37 0 1 1 -64.00000000 -23 OK ERR ERR
38 0 1 0 -64.00000000 25 ERR OK ERR
39 0 1 1 -64.00000000 -63 OK ERR ERR
40 1 0 0 63.00000000 45 OK ERR ERR
41 0 1 1 -64.00000000 -23 OK ERR ERR
42 0 1 1 -64.00000000 -26 OK ERR ERR
43 1 0 0 63.00000000 40 OK ERR ERR
44 0 1 1 -64.00000000 -12 OK ERR ERR
45 0 1 1 -64.00000000 -29 OK ERR ERR
46 0 1 1 -64.00000000 -35 OK ERR ERR
