Turbo Decoder End-to-End Report
symbols=6144 n_half_iter=11 f1=263 f2=480 total_outputs=6144 expected_outputs=6144
final_decision_symbols=6144 bit_errors_vs_original=4570
idx_orig pi_inv bit_orig bit_int_at_pi_inv l_sys_orig l_par1_orig l_par2_int final_llr hard_dec match_orig
0 0 0 0 6 15 15 -64 1 ERR
1 5015 1 1 -10 -5 -10 63 0 ERR
2 3310 0 0 5 15 15 -64 1 ERR
3 1029 1 1 -16 15 10 63 0 ERR
4 4316 1 1 -16 -16 13 63 0 ERR
5 883 1 1 -16 12 7 63 0 ERR
6 3018 0 0 15 8 15 -62 1 ERR
7 4577 1 1 -10 -4 11 63 0 ERR
8 5560 0 0 9 15 6 -64 1 ERR
9 5967 1 1 -12 2 11 63 0 ERR
10 5798 0 0 6 4 2 -64 1 ERR
11 5053 0 0 15 -16 6 -64 1 ERR
12 3732 1 1 -8 -4 15 55 0 ERR
13 1835 0 0 15 -16 -14 -32 1 ERR
14 5506 0 0 4 -8 15 -64 1 ERR
15 2457 0 0 5 -7 -6 -48 1 ERR
16 4976 0 0 15 15 -16 -64 1 ERR
17 775 1 1 -16 7 6 63 0 ERR
18 2142 0 0 10 9 15 -31 1 ERR
19 2933 0 0 15 -8 -1 -35 1 ERR
20 3148 1 1 -15 9 -4 63 0 ERR
21 2787 1 1 -16 11 15 63 0 ERR
22 1850 0 0 10 -9 11 63 0 OK
23 337 1 1 -4 -2 -16 57 0 ERR
24 4392 1 1 -9 -12 -4 57 0 ERR
25 1727 0 0 8 13 -16 -64 1 ERR
26 4630 0 0 15 9 -9 -64 1 ERR
27 813 1 1 -2 15 -13 63 0 ERR
28 2564 1 1 -7 7 -16 63 0 ERR
29 3739 1 1 -11 -8 15 63 0 ERR
30 4338 0 0 15 -14 10 1 0 OK
31 4361 1 1 -10 -6 -16 53 0 ERR
32 3808 1 1 -13 1 15 -24 1 OK
33 2679 1 1 -16 6 0 12 0 ERR
34 974 0 0 15 -16 15 -24 1 ERR
35 4837 1 1 -6 -16 -15 30 0 ERR
36 1980 1 1 -9 -9 15 -22 1 OK
37 4691 0 0 15 9 -2 -23 1 ERR
38 682 0 0 7 15 -11 25 0 OK
39 2241 0 0 14 -10 -1 -63 1 ERR
40 3224 1 1 -9 15 -11 45 0 ERR
41 3631 0 0 6 -3 0 -23 1 ERR
42 3462 0 0 10 -7 9 -26 1 ERR
43 2717 1 1 -12 15 8 40 0 ERR
44 1396 0 0 14 7 15 -12 1 ERR
45 5643 0 0 8 6 -8 -29 1 ERR
46 3170 0 0 0 15 -16 -35 1 ERR
47 121 0 0 -7 14 -14 42 0 OK
48 2640 0 0 13 6 13 -51 1 ERR
49 4583 0 0 15 15 8 -31 1 ERR
50 5950 1 1 2 3 -8 -53 1 OK
51 597 1 1 -5 -11 -7 -46 1 OK
52 812 1 1 -16 12 -16 63 0 ERR
53 451 1 1 -16 4 15 54 0 ERR
54 5658 1 1 -5 15 15 20 0 ERR
55 4145 0 0 13 6 2 -48 1 ERR
56 2056 0 0 7 -16 2 33 0 OK
57 5535 0 0 8 -7 9 -54 1 ERR
58 2294 1 1 -11 10 9 -46 1 OK
59 4621 1 1 -16 -4 -7 -35 1 OK
60 228 1 1 -8 -15 6 -36 1 OK
