# idx_orig final_llr seen
0 -64 1
1 59 1
2 -52 1
3 63 1
4 52 1
5 56 1
6 -57 1
7 56 1
8 -52 1
9 56 1
10 -64 1
11 -57 1
12 56 1
13 -56 1
14 -57 1
15 -57 1
16 -60 1
17 56 1
18 -55 1
19 -39 1
20 46 1
21 36 1
22 -39 1
23 33 1
24 33 1
25 -36 1
26 -33 1
27 40 1
28 55 1
29 41 1
30 -49 1
31 61 1
32 55 1
33 36 1
34 -40 1
35 37 1
36 31 1
37 -26 1
38 -12 1
39 -5 1
40 16 1
41 -21 1
42 -33 1
43 44 1
44 -34 1
45 -35 1
46 -44 1
47 -57 1
48 -49 1
49 -56 1
50 46 1
51 50 1
52 46 1
53 46 1
54 46 1
55 -56 1
56 -45 1
57 -45 1
58 44 1
59 39 1
60 36 1
61 -32 1
62 39 1
63 32 1
64 -52 1
65 -47 1
66 -40 1
67 32 1
68 -37 1
69 -38 1
70 45 1
71 40 1
72 40 1
73 -38 1
74 36 1
75 -37 1
76 -34 1
77 20 1
78 22 1
79 9 1
80 10 1
81 31 1
82 39 1
83 -37 1
84 24 1
85 -38 1
86 -35 1
87 -42 1
88 35 1
89 -20 1
90 -20 1
91 33 1
92 20 1
93 43 1
94 43 1
95 51 1
96 -43 1
97 -46 1
98 59 1
99 -59 1
100 57 1
101 63 1
102 54 1
103 -61 1
104 -53 1
105 41 1
106 -54 1
107 -41 1
108 41 1
109 41 1
110 48 1
111 -45 1
112 -36 1
113 46 1
114 -29 1
115 -40 1
116 25 1
117 -33 1
118 -26 1
119 -21 1
120 -14 1
121 -24 1
122 -37 1
123 -37 1
124 39 1
125 -34 1
126 -29 1
127 -42 1
128 42 1
129 37 1
130 44 1
131 -51 1
132 56 1
133 -51 1
134 50 1
135 50 1
136 -53 1
137 -45 1
138 49 1
139 40 1
140 40 1
141 -31 1
142 -31 1
143 39 1
144 -31 1
145 -38 1
146 38 1
147 -45 1
148 -51 1
149 55 1
150 52 1
151 41 1
152 -52 1
153 48 1
154 45 1
155 44 1
156 -22 1
157 -47 1
158 22 1
159 32 1
160 12 1
161 -21 1
162 33 1
163 -33 1
164 -31 1
165 -45 1
166 -32 1
167 43 1
168 56 1
169 -53 1
170 -52 1
171 -41 1
172 -58 1
173 -41 1
174 -41 1
175 -41 1
176 58 1
177 -54 1
178 63 1
179 60 1
180 -64 1
181 -64 1
182 -54 1
183 51 1
184 -53 1
185 51 1
186 -39 1
187 24 1
188 49 1
189 24 1
190 49 1
191 33 1
192 -33 1
193 -24 1
194 29 1
195 24 1
196 -23 1
197 -19 1
198 23 1
199 19 1
200 16 1
201 -21 1
202 -25 1
203 -14 1
204 -22 1
205 34 1
206 12 1
207 -28 1
208 -34 1
209 -39 1
210 -31 1
211 -28 1
212 -34 1
213 -28 1
214 -36 1
215 30 1
216 30 1
217 28 1
218 40 1
219 47 1
220 -40 1
221 44 1
222 -46 1
223 31 1
224 43 1
225 -45 1
226 -47 1
227 -37 1
228 -46 1
229 43 1
230 -41 1
231 42 1
232 -40 1
233 34 1
234 36 1
235 33 1
236 -24 1
237 26 1
238 -24 1
239 25 1
240 -2 1
241 -21 1
242 -26 1
243 37 1
244 -29 1
245 -29 1
246 32 1
247 29 1
248 31 1
249 29 1
250 11 1
251 26 1
252 34 1
253 -26 1
254 -31 1
255 25 1
256 -20 1
257 -11 1
258 -31 1
259 28 1
260 20 1
261 20 1
262 49 1
263 -47 1
264 43 1
265 43 1
266 -52 1
267 -39 1
268 -27 1
269 39 1
270 37 1
271 23 1
272 -23 1
273 -12 1
274 21 1
275 -14 1
276 21 1
277 -14 1
278 -12 1
279 1 1
280 -11 1
281 10 1
282 -19 1
283 -28 1
284 40 1
285 -38 1
286 -27 1
287 -26 1
288 -44 1
289 -42 1
290 -42 1
291 -39 1
292 -41 1
293 -49 1
294 49 1
295 -49 1
296 48 1
297 55 1
298 57 1
299 51 1
300 44 1
301 -51 1
302 -19 1
303 -35 1
304 35 1
305 34 1
306 -27 1
307 27 1
308 -37 1
309 -19 1
310 -32 1
311 -27 1
312 -35 1
313 -19 1
314 16 1
315 -26 1
316 19 1
317 -26 1
318 -16 1
319 -16 1
