Turbo Decoder End-to-End Report
symbols=40 n_half_iter=11 f1=3 f2=10 total_outputs=40 expected_outputs=40
final_decision_symbols=40 bit_errors_vs_original=36
idx_orig pi_inv bit_orig bit_int_at_pi_inv l_sys_orig l_par1_orig l_par2_int final_llr hard_dec match_orig
0 0 0 0 10 10 15 -59 1 ERR
1 37 1 1 -16 -9 -9 42 0 ERR
2 14 0 0 11 11 -4 -49 1 ERR
3 11 1 1 -10 9 15 51 0 ERR
4 28 1 1 -16 4 6 12 0 ERR
5 25 1 1 4 11 -16 -35 1 OK
6 2 0 0 15 14 12 -57 1 ERR
7 39 1 1 -13 -16 5 47 0 ERR
8 16 0 0 15 4 -8 -41 1 ERR
9 13 1 1 -11 15 -16 57 0 ERR
10 30 0 0 15 12 3 -38 1 ERR
11 27 0 0 3 -16 6 -46 1 ERR
12 4 1 1 -10 15 -5 50 0 ERR
13 1 0 0 14 -8 9 -50 1 ERR
14 18 0 0 -1 -16 12 -46 1 ERR
15 15 0 0 15 -3 14 -38 1 ERR
16 32 0 0 2 -3 -13 22 0 OK
17 29 1 1 -16 15 14 36 0 ERR
18 6 0 0 12 15 -15 -30 1 ERR
19 3 0 0 15 0 15 -44 1 ERR
20 20 1 1 -14 9 15 38 0 ERR
21 17 1 1 -16 3 -2 38 0 ERR
22 34 0 0 13 -8 4 -50 1 ERR
23 31 1 1 -16 -9 10 48 0 ERR
24 8 1 1 -8 -7 -15 30 0 ERR
25 5 0 0 8 10 12 -39 1 ERR
26 22 0 0 14 14 9 -46 1 ERR
27 19 1 1 -16 15 -8 35 0 ERR
28 36 1 1 -8 3 15 43 0 ERR
29 33 1 1 -3 -13 -13 48 0 ERR
30 10 0 0 -6 -11 11 38 0 OK
31 7 1 1 -13 -11 -9 36 0 ERR
32 24 1 1 -7 7 -15 50 0 ERR
33 21 1 1 -10 11 -15 53 0 ERR
34 38 0 0 15 -16 9 -48 1 ERR
35 35 1 1 -13 -16 -4 38 0 ERR
36 12 1 1 -8 -5 9 -27 1 OK
37 9 0 0 15 15 4 -34 1 ERR
38 26 0 0 7 1 13 -48 1 ERR
39 23 0 0 10 -5 -3 -52 1 ERR
