Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2024 Advanced Micro Devices, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2024.1 (win64) Build 5076996 Wed May 22 18:37:14 MDT 2024
| Date         : Wed Mar 25 02:08:38 2026
| Host         : Sai-Vamshi running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical -file utilization_hier_final_tmp.txt
| Design       : turbo_decoder_top
| Device       : xc7z010clg400-1
| Speed File   : -1
| Design State : Synthesized
---------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------+-----------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
|         Instance        |               Module              | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP Blocks |
+-------------------------+-----------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
| turbo_decoder_top       |                             (top) |      22282 |      19946 |    2336 |    0 | 21079 |     16 |      0 |          0 |
|   (turbo_decoder_top)   |                             (top) |       8369 |       8369 |       0 |    0 |   730 |      0 |      0 |          0 |
|   gen_chan_ram[0].ram_i |                    simple_dp_bram |          3 |          3 |       0 |    0 |     0 |      1 |      0 |          0 |
|   gen_chan_ram[1].ram_i |                  simple_dp_bram_0 |          6 |          6 |       0 |    0 |     0 |      1 |      0 |          0 |
|   gen_chan_ram[2].ram_i |                  simple_dp_bram_1 |          0 |          0 |       0 |    0 |     0 |      1 |      0 |          0 |
|   gen_chan_ram[3].ram_i |                  simple_dp_bram_2 |          1 |          1 |       0 |    0 |     0 |      1 |      0 |          0 |
|   gen_chan_ram[4].ram_i |                  simple_dp_bram_3 |          4 |          4 |       0 |    0 |     0 |      1 |      0 |          0 |
|   gen_chan_ram[5].ram_i |                  simple_dp_bram_4 |          4 |          4 |       0 |    0 |     0 |      1 |      0 |          0 |
|   gen_chan_ram[6].ram_i |                  simple_dp_bram_5 |          4 |          4 |       0 |    0 |     0 |      1 |      0 |          0 |
|   gen_chan_ram[7].ram_i |                  simple_dp_bram_6 |          5 |          5 |       0 |    0 |     0 |      1 |      0 |          0 |
|   gen_ext_ram[0].ram_i  |    simple_dp_bram__parameterized0 |          4 |          4 |       0 |    0 |     0 |      1 |      0 |          0 |
|   gen_ext_ram[1].ram_i  |  simple_dp_bram__parameterized0_7 |          7 |          7 |       0 |    0 |     0 |      1 |      0 |          0 |
|   gen_ext_ram[2].ram_i  |  simple_dp_bram__parameterized0_8 |          5 |          5 |       0 |    0 |     0 |      1 |      0 |          0 |
|   gen_ext_ram[3].ram_i  |  simple_dp_bram__parameterized0_9 |          8 |          8 |       0 |    0 |     0 |      1 |      0 |          0 |
|   gen_post_ram[0].ram_i |    simple_dp_bram__parameterized1 |          2 |          2 |       0 |    0 |     0 |      1 |      0 |          0 |
|   gen_post_ram[1].ram_i | simple_dp_bram__parameterized1_10 |          9 |          9 |       0 |    0 |     0 |      1 |      0 |          0 |
|   gen_post_ram[2].ram_i | simple_dp_bram__parameterized1_11 |          2 |          2 |       0 |    0 |     0 |      1 |      0 |          0 |
|   gen_post_ram[3].ram_i | simple_dp_bram__parameterized1_12 |          6 |          6 |       0 |    0 |     0 |      1 |      0 |          0 |
|   siso_u                |                    siso_maxlogmap |      13843 |      11507 |    2336 |    0 | 20349 |      0 |      0 |          0 |
+-------------------------+-----------------------------------+------------+------------+---------+------+-------+--------+--------+------------+


